synsetId	ili	partOfSpeech	lexfile	members	definition	exampleCount
awn4-00789322-v	i25620	v			تقوية ودعم سلوك ما بالمكافآت	1
awn4-00789388-n	i39546	n			الجزء المتوقع منك تأديته	1
awn4-00789444-s	i4329	s			غَيْر مُقَسَّم أَوْ مُجَزَّأ إِلَى أَجْزَاء	0
awn4-00789493-n	i39547	n			محاولة تحقيق المساواة في الحقوق أو الوضع	1
awn4-00789538-v	i25621	v			التعليم بطريقة لا تتحدى قدرات الطلاب ولا تدفعهم للتفكير المستقل	1
awn4-00789586-s	i4330	s			لَا يُمْكِن قِسْمَتُه بِدُون بَاقٍ	0
awn4-00789668-n	i39548	n			مسعى عقيم أو غير مربح	0
awn4-00789719-v	i25622	v			سأل بإلحاح لاستخراج المعلومات	1
awn4-00789728-s	i4331	s			غَيْر قَابِل لِلفَصْل	0
awn4-00789758-n	i39549	n			محاولة عدوانية لإجبار الإذعان عن طريق تركيز القوة أو التلاعب بها	1
awn4-00789846-a	i4332	a			مزود بالوثائق أو مدعوم بها	1
awn4-00789846-v	i25623	v			طرح سلسلة من الأسئلة على	2
awn4-00790023-n	i39550	n			محاولة اكتساب أو كسب شيء ما	0
awn4-00790040-s	i4333	s			مَدْعُوم بِمَرَاجِع أَوِ اسْتِشْهَادَات مَكْتُوبَة	0
awn4-00790134-n	i39551	n			كلمات غير رسمية لأي محاولة أو جهد	2
awn4-00790179-s	i4334	s			(عَنِ القَارِب أَوِ السَّفِينَة) مُزَوَّد بِالوَثَائِق الرَّسْمِيَّة المَطْلُوبَة	0
awn4-00790226-v	i25624	v			سأل أو فحص بدقة وعن كثب	0
awn4-00790293-n	i39552	n			محاولة للتسجيل في لعبة	0
awn4-00790345-a	i4335	a			يفتقر إلى الوثائق اللازمة (مثل إذن العيش أو العمل في بلد ما)	2
awn4-00790427-n	i39553	n			محاولة جاهدة لتحقيق هدف	0
awn4-00790483-v	i25625	v			فحص بدقة متناهية	1
awn4-00790557-s	i4336	s			(عَنِ القَارِب أَوِ السَّفِينَة) غَيْر مُزَوَّد بِالوَثَائِق الرَّسْمِيَّة	0
awn4-00790633-v	i25626	v			استجوب بعد الاستجواب المضاد من قبل المحامي الخصم	1
awn4-00790634-n	i39554	n			محاولة حيوية لتحقيق شيء ما	2
awn4-00790691-a	i4337	a			يميل إلى التسلط والسيطرة	0
awn4-00790800-v	i25627	v			حقق علمياً	1
awn4-00790898-n	i39555	n			أي صراع بين خصمين ماهرين (أفراد أو مجموعات)	0
awn4-00790912-s	i4338	s			يَتَوَقَّع طَاعَةً عَمْيَاء بِلَا نِقَاش	0
awn4-00791052-n	i39556	n			صراع غير رسمي وغير منظم	0
awn4-00791110-v	i25628	v			تواصل أو حاول التواصل (مع شخص) عبر الهاتف	2
awn4-00791150-s	i4339	s			مُعْتَدّ بِنَفْسِهِ بِشَكْلٍ مُسِيء أَوْ يُمَارِس سُلْطَةً غَيْر مُبَرَّرَة	0
awn4-00791195-n	i39557	n			الاستحواذ على شركة عن طريق شراء نسبة مسيطرة من أسهمها	0
awn4-00791396-n	i39558	n			استحواذ يعتمد على تحليل فوائد الدمج تحسباً لزيادة القوة الكسبية	0
awn4-00791567-n	i39559	n			تغيير في مصلحة السيطرة على شركة عن طريق البيع أو الاندماج	0
awn4-00791587-s	i4340	s			مُتَسَلِّط بِصَخَب؛ يَمِيل إِلَى تَرْهِيب الآخَرِين	0
awn4-00791596-v	i25629	v			اتصل باستخدام هاتف خلوي	1
awn4-00791700-s	i4341	s			يَتَّسِم بِتَجَاهُل مُتَعَالٍ لِلآخَرِين	0
awn4-00791747-n	i39560	n			مقاومة أو دفاع ضد الاستحواذ العدائي	0
awn4-00791797-v	i25630	v			أجرى مكالمة هاتفية (غالباً ببرنامج أو جهة)	2
awn4-00791823-s	i4342	s			مُتَسَلِّط بِظُلْم	0
awn4-00791866-n	i39561	n			محاولة للسيطرة على شركة	0
awn4-00791970-v	i25631	v			شغّل قرص الهاتف لاختيار رقم هاتف	1
awn4-00792008-n	i39562	n			عرض لشراء أسهم من أجل السيطرة على الشركة	0
awn4-00792029-s	i4343	s			يَتَّسِم بِقَسْوَة ظَالِمَة أَوْ سُلُوك تَعَسُّفِيّ	0
awn4-00792159-n	i39563	n			عرض استحواذ حيث يعرض المستحوذ دفع المزيد مقابل الأسهم اللازمة للسيطرة مقارنة بالأسهم المتبقية	0
awn4-00792171-v	i25632	v			أبقى خط الهاتف مفتوحاً	1
awn4-00792338-n	i39564	n			عرض استحواذ حيث يعرض المستحوذ شراء أي وجميع الأسهم القائمة	0
awn4-00792365-v	i25633	v			تواصل عبر مسافات طويلة، كما عبر الهاتف أو البريد الإلكتروني	0
awn4-00792376-a	i4344	a			يميل أو يرغب في الخضوع لأوامر أو رغبات الآخرين أو يظهر هذا الميل	3
awn4-00792478-n	i39565	n			استحواذ تقاومه إدارة الشركة المستهدفة	0
awn4-00792608-n	i39566	n			استحواذ ترحب به إدارة الشركة المستهدفة	0
awn4-00792627-v	i25634	v			تواصل عن طريق التلكس	1
awn4-00792739-n	i39567	n			فعل اختبار شيء ما	2
awn4-00792796-v	i25635	v			دعا في أمر رسمي، مثل حضور المحكمة	0
awn4-00792836-s	i4345	s			يُظْهِر إِذْلَالًا أَوْ خُضُوعًا	0
awn4-00792947-s	i4346	s			يُظْهِر أَدَبًا مُفْرِطًا فِي الخُضُوع	0
awn4-00793034-v	i25636	v			اتصل أو استدعى أو نبه بجهاز النداء	0
awn4-00793049-s	i4347	s			يُظْهِر قِلَّة فِي الشَّجَاعَة؛ مُفْرِط فِي الِامْتِثَال	0
awn4-00793168-v	i25637	v			طلب العودة	2
awn4-00793188-n	i39568	n			اختبار كمي أو نوعي لمادة (خاصة خام أو دواء) لتحديد مكوناتها؛ يستخدم بشكل متكرر لاختبار وجود أو تركيز العوامل المعدية أو الأجسام المضادة وما إلى ذلك	0
awn4-00793426-s	i4348	s			خَاضِع خُضُوعًا تَامًّا	0
awn4-00793426-v	i25638	v			إرجاع أو تكرار مكالمة هاتفية	2
awn4-00793536-n	i39569	n			مقايسة تعتمد على تفاعل تحويل إنزيمي وتستخدم للكشف عن وجود مواد محددة (مثل الإنزيمات أو الفيروسات أو الأجسام المضادة أو البكتيريا)	0
awn4-00793543-s	i4349	s			مُضَايَق بِالتَّذَمُّر المُسْتَمِرّ	0
awn4-00793641-a	i4350	a			خاضع أو متملق في الموقف أو السلوك	3
awn4-00793673-v	i25639	v			استدعى لنشاط معين أو توظيف	1
awn4-00793803-n	i39570	n			مقايسة تظهر مستضدات محددة في الأنسجة باستخدام علامات تكون إما أصباغ فلورية أو إنزيمات	0
awn4-00793827-v	i25640	v			استدعى (ضامناً) إلى المحكمة لضمان أو الدفاع عن حق	0
awn4-00793949-s	i4351	s			يَسْعَى لِكَسْب الوُدّ بِالتَّمَلُّق	0
awn4-00793966-v	i25641	v			نادى باستخدام الجرس	1
awn4-00794017-n	i39571	n			اختبار محكوم بصرامة لدواء جديد أو جهاز طبي جراحي جديد على البشر	0
awn4-00794095-s	i4352	s			مُنْتَبِه بِأُسْلُوب تَمَلُّقِيّ أَوْ عُبُودِيّ	0
awn4-00794133-v	i25642	v			أمر أو طلب أو نادى للمجيء	2
awn4-00794246-s	i4353	s			خَاضِع خُضُوعًا مُطْلَقًا؛ مِنْ سِمَات العَبْد أَوِ الخَادِم	0
awn4-00794381-n	i39572	n			تجربة سريرية على عدد قليل من الأشخاص لتحديد سلامة دواء جديد	0
awn4-00794583-v	i25643	v			دعا لإيقاف الصيد أو الانسحاب، كما في كلاب الصيد	0
awn4-00794599-s	i4354	s			مُنَاسِب لِعَبْد أَوْ خَادِم	0
awn4-00794615-n	i39573	n			تجربة سريرية على أشخاص أكثر من المرحلة الأولى؛ تهدف إلى تقييم فعالية العلاج	0
awn4-00794686-a	i4355	a			غير خانع أو خاضع	0
awn4-00794699-v	i25644	v			دعا للتجمع	1
awn4-00794782-a	i4356	a			يمارس نفوذاً أو سيطرة	2
awn4-00794873-n	i39574	n			تجربة سريرية كبيرة لعلاج أو دواء ثبتت فعاليته في المرحلتين الأولى والثانية	0
awn4-00794933-v	i25645	v			دعا للواجب، الخدمة العسكرية، واجب هيئة المحلفين، إلخ	0
awn4-00795080-v	i25646	v			طلب الحضور للمحكمة بموجب أمر قضائي (مذكرة إحضار)	1
awn4-00795186-s	i4357	s			الأَكْثَر قُوَّةً أَوْ أَهَمِّيَّةً أَوْ تَأْثِيرًا	0
awn4-00795190-n	i39575	n			مراقبة مستمرة لتأثيرات الدواء بعد موافقة إدارة الغذاء والدواء عليه للاستخدام العام	0
awn4-00795242-v	i25647	v			طلب من شخص بطريقة ودية القيام بشيء ما	0
awn4-00795447-v	i25648	v			هيأ أو مال أو أغرى لـ	1
awn4-00795499-s	i4358	s			قَادِر عَلَى التَّحَكُّم فِي السِّيَاسَة أَوْ تَحْدِيدِهَا	0
awn4-00795505-n	i39576	n			إجراء اختبار يتم فيه إخفاء هوية من يتلقون التدخل عن كل من المسؤولين والمشاركين حتى اكتمال الاختبار	0
awn4-00795630-s	i4359	s			مَسْؤُول عَنْ وَضْع القَوَانِين وَإِنْفَاذِهَا	0
awn4-00795741-v	i25649	v			وفر الحافز اللازم لـ	0
awn4-00795757-s	i4360	s			ذُو قُوَّة وَتَأْثِير أَعْلَى	0
awn4-00795784-n	i39577	n			اختبار معملي لدواء جديد أو جهاز طبي على الحيوانات؛ يجرى لجمع أدلة تبرر التجربة السريرية	0
awn4-00796028-n	i39578	n			فعل الخضوع للاختبار	2
awn4-00796031-s	i4361	s			يُظْهِر رَغْبَةً فِي التَّحَكُّم أَوِ السَّيْطَرَة	0
awn4-00796045-v	i25650	v			تسبب في أن يقوم (تيار أو نهر) بالنحت، كما عن طريق ارتفاع الأرض	0
awn4-00796195-v	i25651	v			حفز للتذكر	1
awn4-00796196-s	i4362	s			الأَعْظَم مَكَانَةً أَوْ سُلْطَةً أَوْ قُوَّةً	0
awn4-00796275-n	i39579	n			اختبار لمدى ملاءمة فنان أو مؤدٍ	0
awn4-00796302-v	i25652	v			لجأ إلى أو قدم نداءً أو طلباً للمساعدة أو المعلومات لـ	2
awn4-00796324-s	i4363	s			(يُتْبَع أَحْيَانًا بِـ"عَلَى") لَا يَخْضَع لِتَأْثِير أَوْ سَيْطَرَة	0
awn4-00796433-n	i39580	n			تجربة أداء مصورة لممثل أو ممثلة	0
awn4-00796531-n	i39581	n			اختبار لكلاب الصيد الصغيرة لتحديد مهارتها	0
awn4-00796542-v	i25653	v			حجز جميع الأماكن أو التذاكر المتاحة	0
awn4-00796546-a	i4364	a			أدنى في الرتبة أو الأهمية	0
awn4-00796643-v	i25654	v			وضع جدولاً زمنياً؛ خطط الوقت والمكان للأحداث	1
awn4-00796669-n	i39582	n			ارتداء الملابس لمعرفة ما إذا كانت مناسبة	0
awn4-00796805-s	i4365	s			يَتَعَلَّق بِشَخْصٍ تَابِعٍ لِآخَر	0
awn4-00796822-n	i39583	n			اختبار سنوي إلزامي للمركبات القديمة للسلامة وعوادم السيارات	0
awn4-00796926-v	i25655	v			رتب برنامجاً لـ	1
awn4-00796981-s	i4366	s			لَهُ حُقُوق وَامْتِيَازَات جُزْئِيَّة أَوْ مَكَانَة ثَانَوِيَّة	0
awn4-00797013-n	i39584	n			نشاط مخطط كاختبار أو تجربة	1
awn4-00797137-v	i25656	v			عين وقتاً ومكاناً جديدين لحدث	1
awn4-00797147-s	i4367	s			يَنْتَمِي إِلَى طَبَقَة أَوْ رُتْبَة أَدْنَى	0
awn4-00797169-n	i39585	n			عمل أولي ممل أو روتيني للتحضير لمشروع ما	0
awn4-00797237-s	i4368	s			أَقَلّ فِي الرُّتْبَة أَوِ السُّلْطَة أَوِ القُوَّة	0
awn4-00797286-n	i39586	n			عمل يدفع مقابله بمعدل لكل وحدة زمنية	0
awn4-00797294-v	i25657	v			حصل أو رتب (لنفسه) مقدماً	1
awn4-00797348-a	i4369	a			(عن الجينات) ينتج نفس النمط الظاهري سواء كان أليله متطابقاً أو مختلفاً	0
awn4-00797381-n	i39587	n			أي قطعة عمل يتم الاضطلاع بها أو محاولتها	1
awn4-00797525-v	i25658	v			أمر بعدم فعل شيء	3
awn4-00797543-a	i4370	a			(عن الجينات) ينتج نمطه الظاهري المميز فقط عندما يكون أليله متطابقاً	0
awn4-00797701-a	i4371	a			له ماسورة واحدة	1
awn4-00797832-a	i4372	a			له ماسورتان مثبتتان جنباً إلى جنب	1
awn4-00797858-n	i39588	n			تكليف بكتابة شيء ما	0
awn4-00797976-n	i39589	n			مشروع جامح ومثير (ليس بالضرورة قانونياً)	0
awn4-00797981-a	i4373	a			(عن الملابس) يغلق بلف حافة واحدة من الأمام جيداً فوق الأخرى عادةً بصف مزدوج من الأزرار	2
awn4-00798054-v	i25659	v			منع خاصة بوسائل قانونية أو ضغط اجتماعي	1
awn4-00798205-a	i4374	a			(عن الملابس) يغلق بتداخل ضيق ويُثبت بصف واحد من الأزرار	1
awn4-00798247-n	i39590	n			مشروع تم تكليفك بالقيام به (كما من قبل مدرب أو معلم)	0
awn4-00798250-v	i25660	v			منع من الدخول؛ أبعد	1
awn4-00798380-a	i4375	a			مناسب لـ أو من خصائص الدراما	2
awn4-00798428-n	i39591	n			مشروع ذو اهتمام شخصي لشخص ما	1
awn4-00798501-v	i25661	v			أصدر أمراً قضائياً بالمنع	0
awn4-00798547-n	i39592	n			مشروع هادف أو كادح (خاصة المشروع الذي يتطلب جهداً أو جرأة)	1
awn4-00798633-s	i4376	s			يَحْمِل إِثَارَةً وَجَاذِبِيَّةً عَاطِفِيَّة كَالمِيلُودْرَامَا	0
awn4-00798638-v	i25662	v			رفض باحتقار	1
awn4-00798801-s	i4377	s			مِنْ سِمَات العُرُوض أَوِ الدِّرَامَا	0
awn4-00798868-n	i39593	n			عمل منتج يتم إنجازه طوعاً دون مكافأة مادية أو تعويض	0
awn4-00798950-s	i4378	s			مُتَكَلَّف فِي الأَدَاء الدِّرَامِيّ؛ مُبَالَغ فِيه	0
awn4-00798965-v	i25663	v			التحدث بطريقة متبجحة أو مزدرية	1
awn4-00799022-n	i39594	n			أي مشروع طويل وشاق	0
awn4-00799050-a	i4379	a			يفتقر إلى القوة والجودة الدرامية	1
awn4-00799092-v	i25664	v			أظهر عدم الرغبة تجاه	1
awn4-00799129-n	i39595	n			أي شيء يتطلب القليل من التفكير	0
awn4-00799226-s	i4380	s			لَيْسَ مُثِيرًا لِلإِعْجَاب	0
awn4-00799242-n	i39596	n			مهمة يجب التعامل معها	1
awn4-00799340-a	i4381	a			يمكن تمثيله؛ مناسب للمسرح	1
awn4-00799359-v	i25665	v			أعطى رداً بالإيجاب؛ استجاب بشكل إيجابي لـ	2
awn4-00799384-n	i39597	n			مهمة أو متطلب هائل	1
awn4-00799514-a	i4382	a			لا يمكن تمثيله	1
awn4-00799539-n	i39598	n			أي مشروع ينطوي على مغامرة خاصة المشروع ذو النتيجة غير المؤكدة	0
awn4-00799602-a	i4383	a			مناسب لـ أو من خصائص خشبة المسرح أو المسرح	2
awn4-00799753-v	i25666	v			قبل رغم عدم الرضا التام	1
awn4-00799769-n	i39599	n			هواية استكشاف الكهوف	0
awn4-00799892-s	i4384	s			مِنْ سِمَات التَّمْثِيل أَوِ الأَدَاء المَسْرَحِيّ؛ غَالِبًا مُتَكَلَّف	0
awn4-00799906-n	i39600	n			سلسلة من الإجراءات لتعزيز مبدأ أو السعي نحو غاية معينة	5
awn4-00799911-v	i25667	v			وافق كتابياً على دفع المال لنقابة عمالية لاستخدام سياسي	0
awn4-00800064-v	i25668	v			رفض دفع ضريبة لاتحاد لاستخدام سياسي	0
awn4-00800146-s	i4385	s			يَعْرِض بَرَاعَةً وَتَأَلُّقًا	0
awn4-00800201-v	i25669	v			رفض بشكل صريح وفظ	1
awn4-00800270-s	i4386	s			يَحْمِل سِمَات المَسْرَح خَاصَّةً التَّكَلُّف وَالِافْتِعَال	0
awn4-00800379-v	i25670	v			رفض أو تنصل رسمياً من معتقد كان يعتنقه سابقاً، عادة تحت الضغط	2
awn4-00800483-a	i4387	a			غير مناسب لـ أو ليس من خصائص خشبة المسرح أو المسرح	2
awn4-00800620-n	i39601	n			برنامج منظم للإعلانات	0
awn4-00800668-a	i4388	a			مناسب للشرب	0
awn4-00800738-v	i25671	v			استعاد ما قاله (تراجع عنه)	1
awn4-00800773-a	i4389	a			غير مناسب للشرب	0
awn4-00800786-n	i39602	n			حملة ضد دخول الحرب أو استمرارها	0
awn4-00800854-a	i4390	a			مذهول أو متهيج بواسطة مادة كيميائية (خاصة الكحول)	2
awn4-00800897-n	i39603	n			حملة من التملق والود (من قبل شركة أو سياسي، إلخ) ليصبح أكثر شعبية ويكسب الدعم	0
awn4-00800905-v	i25672	v			ذكر شيء بشكل غير صحيح	1
awn4-00801045-v	i25673	v			تراجع عن التزام أو نشاط سابق	3
awn4-00801070-n	i39604	n			حركة تدعو إلى حماية أكبر لمصالح المستهلكين	0
awn4-00801198-n	i39605	n			حملة المرشح ليتم انتخابه	0
awn4-00801277-s	i4391	s			يُوصَف بِهِ العَرْبَدَة وَالسُّكْر الصَّاخِب	0
awn4-00801460-v	i25674	v			ألغى رسمياً	3
awn4-00801470-n	i39606	n			حملة يلقي فيها المرشح الخطب ولكنه لا يسافر	2
awn4-00801588-s	i4392	s			تَفُوح مِنْهُ رَائِحَة البِيرَة	0
awn4-00801674-s	i4393	s			فِي حَالَة سُكْرٍ شَدِيد	0
awn4-00801782-n	i39607	n			الأنشطة التي تنطوي عليها الحملات السياسية (خاصة إلقاء الخطب)	0
awn4-00801904-v	i25675	v			فشل في الوفاء بوعد أو التزام	1
awn4-00801931-n	i39608	n			حملة لجمع المال لقضية ما	0
awn4-00801955-s	i4394	s			فِي حَالَة سُكْرٍ خَفِيف	0
awn4-00802062-s	i4395	s			مُنْغَمِس فِي شُرْب الكُحُول أَوْ يَتَّسِم بِهِ	0
awn4-00802082-n	i39609	n			الحركة التي تهدف إلى الحقوق المتساوية للمرأة	0
awn4-00802122-v	i25676	v			جعل الشيء غير صالح للاستخدام	1
awn4-00802248-v	i25677	v			وضع بين أقواس	1
awn4-00802318-n	i39610	n			الحركة التي تهدف إلى تحرير المثليين من القمع القانوني أو الاجتماعي أو الاقتصادي	0
awn4-00802412-v	i25678	v			أزال من قائمة	1
awn4-00802450-s	i4396	s			وَاقِع تَحْتَ تَأْثِير المُخَدِّرَات	0
awn4-00802486-n	i39611	n			قضية مهزومة أو قضية تكون الهزيمة فيها حتمية	0
awn4-00802592-v	i25679	v			أبعد عن الانتباه أو الاعتبار	1
awn4-00802601-n	i39612	n			حملة تهدف إلى تصحيح الانتهاكات أو الممارسات الخاطئة	1
awn4-00802700-s	i4397	s			(عَامِّيَّة بِرِيطَانِيَّة) سَكْرَان	0
awn4-00802786-n	i39613	n			حملة منسقة لإنهاء شيء ضار	2
awn4-00802795-s	i4398	s			فِي حَالَة نَشْوَة خَفِيفَة مِنَ الكُحُول أَوِ المُخَدِّرَات	0
awn4-00802938-n	i39614	n			حركة إصلاح سياسي أو ديني أو اجتماعي تتكون بشكل رئيسي من الشباب	0
awn4-00802972-s	i4399	s			تَحْتَ تَأْثِير المُخَدِّرَات وَخَاصَّةً القِنَّب	0
awn4-00803017-v	i25680	v			العد مرة أخرى	1
awn4-00803088-a	i4400	a			غير متأثر بمادة كيميائية (خاصة الكحول)	0
awn4-00803111-n	i39615	n			النشر المنظم للشائعات المهينة المصممة لتشويه سمعة مرشح	0
awn4-00803184-v	i25681	v			تجاهل (شيئاً مزعجاً)	1
awn4-00803259-n	i39616	n			القيام بحملة لشيء ما عن طريق إلقاء الخطب السياسية	0
awn4-00803287-s	i4401	s			فِي حَالَة صَحْوٍ كَامِل	0
awn4-00803288-v	i25682	v			توقف عن النظر في؛ أخرج من الاعتبار القضائي	1
awn4-00803371-s	i4402	s			يَتَّصِف بِعَدَم تَعَاطِي المُخَدِّرَات غَيْر المَشْرُوعَة	0
awn4-00803385-n	i39617	n			حملة إعلانية تهدف إلى تعزيز المبيعات	0
awn4-00803444-v	i25683	v			عامل بتجاهل وازدراء	1
awn4-00803495-n	i39618	n			حملة إعلانية تهدف إلى تحسين العلاقات العامة	0
awn4-00803524-s	i4403	s			يُمَارِس الِامْتِنَاع الكَامِل عَنِ المَشْرُوبَات الكُحُولِيَّة	0
awn4-00803627-n	i39619	n			مغامرة خارج المسار المألوف	1
awn4-00803639-v	i25684	v			رفض الاعتراف أو الملاحظة	1
awn4-00803730-s	i4404	s			لَيْسَ فِي حَالَة سُكْر	0
awn4-00803772-n	i39620	n			فعل مساعدة أو تحسين المرء لنفسه دون الاعتماد على أي شخص آخر	0
awn4-00803798-v	i25685	v			تعامل مع مشكلة بالضحك أو التظاهر بالتسلية منها	1
awn4-00803819-a	i4405	a			ليس له حافة أو نقطة حادة	1
awn4-00803899-n	i39621	n			مغامرة يتم القيام بها دون اعتبار للخسارة أو الإصابة المحتملة	2
awn4-00803980-v	i25686	v			وافق على، أعطى الإذن؛ سمح	3
awn4-00804035-s	i4406	s			يُوصَف بِسِكِّين أَوْ نَصْل غَيْر حَادّ	0
awn4-00804168-s	i4407	s			أُصْبِحَ كَلِيلًا أَوْ غَيْرَ حَادّ	0
awn4-00804249-s	i4408	s			يَفْتَقِر إِلَى حَافَّة قَاطِعَة	0
awn4-00804290-n	i39622	n			مخاطرة تنطوي على خطر	1
awn4-00804326-s	i4409	s			لَمْ يُشْحَذ أَوْ يُسَنّ	0
awn4-00804397-a	i4410	a			له أو مصنوع بحافة رفيعة أو نقطة حادة؛ مناسب للقطع أو الثقب	2
awn4-00804446-n	i39623	n			مغامرة محفوفة بالمخاطر وغير مؤكدة	1
awn4-00804608-v	i25687	v			سمح بوجود أو سمح (بنشاط) دون معارضة أو حظر	3
awn4-00804623-n	i39624	n			فعل أو مغامرة محفوفة بالمخاطر	0
awn4-00804752-n	i39625	n			مغامرة تنطوي على مخاطرة كبيرة ولكنها تعد بمكافآت كبيرة	0
awn4-00804869-n	i39626	n			زيادة حجم الرهان (كما في البوكر)	1
awn4-00804899-s	i4411	s			(عَنِ السِّنّ) مُتَكَيِّف لِتَمْزِيق اللَّحْم	0
awn4-00804987-v	i25688	v			منح تفويضاً أو تصريحاً لـ	2
awn4-00805033-s	i4412	s			يُشْبِه الإِزْمِيل فِي شَكْلِه	0
awn4-00805055-n	i39627	n			زيادة الرهان في لعبة ورق بمعامل 2	1
awn4-00805110-s	i4413	s			يُشبِه الخنجر في شكله أو حدّته	0
awn4-00805187-s	i4414	s			يُشبِه المثقب في شكله أو حدّته	0
awn4-00805262-s	i4415	s			له حافة قاطعة أو حواف من نوع معيّن؛ غالباً يُستخدم في التركيبات	0
awn4-00805278-n	i39628	n			نشاط إدارة أو ممارسة السيطرة على شيء ما	1
awn4-00805445-s	i4416	s			يُشبِه الناب في شكله أو حدّته	0
awn4-00805477-v	i25689	v			وافق أو أقر رسمياً	0
awn4-00805518-s	i4417	s			يُشبِه المبرد في خشونته أو حدّته	0
awn4-00805591-s	i4418	s			مناسب للقطع أو الثقب	0
awn4-00805664-v	i25690	v			فوّض بموجب شهادة	0
awn4-00805750-s	i4419	s			له حافة قاطعة أو رأس حادّ	0
awn4-00805801-v	i25691	v			وافق أو عبّر عن الموافقة	1
awn4-00805841-n	i39629	n			نشاط السيطرة على حشد من الناس	0
awn4-00805871-s	i4420	s			يقطع أو قادر على القطع كما لو كان سكّيناً	0
awn4-00805932-n	i39630	n			جهد لتقليل أو تقليص الضرر أو الخسارة	0
awn4-00805968-s	i4421	s			صلب وحادّ بما يكفي لقطع المعادن	0
awn4-00806040-n	i39631	n			فعل الوضع تحت السيطرة الفيدرالية	0
awn4-00806085-s	i4422	s			يميل إلى الاختراق؛ له قدرة على الدخول أو الثقب	0
awn4-00806138-v	i25692	v			وافق على مضض	0
awn4-00806196-n	i39632	n			التحكم من المحطات الأرضية في الطائرات أثناء طيرانها	0
awn4-00806315-v	i25693	v			حجب الموافقة؛ خالف رأي الأغلبية	1
awn4-00806338-s	i4423	s			حادّ كحدّة شفرة الموسى	0
awn4-00806369-n	i39633	n			(هندسة) فن أو تقنية محاولة السيطرة على الأنهار بالسدود وغيرها لتقليل حدوث الفيضانات	0
awn4-00806415-s	i4424	s			جُعِل حادّاً أو أكثر حدّة	0
awn4-00806464-v	i25694	v			كان ذا رأي مختلف	2
awn4-00806531-s	i4425	s			له أسنان حادّة	0
awn4-00806570-n	i39634	n			أي حالة من حالات التوسع العدواني للسلطة	0
awn4-00806609-a	i4426	a			يُشعر به بحدة وألم؛ كما لو كان ناتجاً عن حافة أو نقطة حادة	2
awn4-00806695-n	i39635	n			فعل السيطرة أو التوجيه وفقًا لقاعدة	1
awn4-00806846-s	i4427	s			بالغ الحدّة أو الشدّة	0
awn4-00806890-v	i25695	v			اختلف بحدة وعنف	1
awn4-00806998-n	i39636	n			عملية التحرير من اللوائح (خاصة اللوائح الحكومية)	0
awn4-00807002-s	i4428	s			مؤلم كما لو كان ناتجاً عن أداة حادّة	0
awn4-00807038-v	i25696	v			أن يكون في توافق؛ أن يكون متفقاً	4
awn4-00807185-n	i39637	n			تخفيض رسمي لعملة وطنية؛ انخفاض في قيمة عملة بلد ما بالنسبة لعملات الدول الأجنبية	0
awn4-00807321-s	i4429	s			حادّ وثاقب كوميض البرق	0
awn4-00807416-s	i4430	s			(في الكلام) مؤلم أو مرير	0
awn4-00807427-n	i39638	n			جهود لتنظيم أو السيطرة على مبيعات الأسلحة	0
awn4-00807529-n	i39639	n			نظام للتنظيم الاقتصادي: يتم ربط الأجور والفائدة بمؤشر تكلفة المعيشة لتقليل آثار التضخم	0
awn4-00807541-a	i4431	a			لا يُشعر به بحدة	2
awn4-00807572-v	i25697	v			أن يكون في اتفاق تام	1
awn4-00807676-s	i4432	s			جُعِل أو أصبح أقلّ حدّة	0
awn4-00807711-v	i25698	v			أن يكون مستعداً للتسليم أو الإقرار	1
awn4-00807736-n	i39640	n			إجراء أو نظام محاسبي مصمم لتعزيز الكفاءة أو ضمان تنفيذ سياسة أو حماية الأصول	0
awn4-00807790-a	i4433	a			مليء بالأحداث أو الوقائع	1
awn4-00807941-s	i4434	s			مليء بالأحداث أو النشاط	0
awn4-00807976-v	i25699	v			التبني كمعتقد	1
awn4-00808027-n	i39641	n			رقابة داخلية يقوم بها واحد أو أكثر من المديرين	0
awn4-00808072-a	i4435	a			يتميز بعدم وجود أحداث جديرة بالملاحظة أو هامة	3
awn4-00808145-n	i39642	n			الحفاظ على معايير الجودة للسلع المصنعة	0
awn4-00808164-v	i25700	v			أعطى موافقة أو تصريحاً لـ	1
awn4-00808265-a	i4436	a			مليء بالحياة والطاقة	3
awn4-00808282-n	i39643	n			إجراء إحصائي لقبول أو رفض دفعة من البضائع	0
awn4-00808553-v	i25701	v			أعطى موافقة دينية لـ، مثل القسم	1
awn4-00808563-n	i39644	n			فعل تحقيق التوحيد؛ جعله منتظماً	0
awn4-00808685-s	i4437	s			(غالباً ما يُتبع بـ 'بـ') مليء بالحياة والروح	0
awn4-00808721-v	i25702	v			وافق رسمياً (على وثيقة)	1
awn4-00808739-n	i39645	n			تنظيم الحدوث أو الوتيرة أو التنسيق لتحقيق تأثير مرغوب	0
awn4-00808840-v	i25703	v			اعتبره خاطئاً أو غير مناسب	1
awn4-00808879-s	i4438	s			يتميّز بالحركة النشطة والحيوية	0
awn4-00808934-n	i39646	n			تنظيم عناصر متنوعة في عملية متكاملة ومتناغمة	0
awn4-00809123-v	i25704	v			عبر أو أثار اعتراضاً أو احتجاجاً أو نقداً أو عبر عن المعارضة	2
awn4-00809136-s	i4439	s			مُنتعِش ومليء بالنشاط والعفوية	0
