type	subtag	tag	preferredValue	suppressScript	macrolanguage	scope	deprecated	added	prefix	description
language	yla							2009-07-29		Yaul
language	ylb							2010-03-11		Yaleba
language	yle							2009-07-29		Yele
language	ylg							2009-07-29		Yelogu
language	yli							2009-07-29		Angguruk Yali
language	yll							2009-07-29		Yil
language	ylm							2009-07-29		Limi
language	yln							2009-07-29		Langnian Buyang
language	ylo							2009-07-29		Naluo Yi
language	ylr							2009-07-29		Yalarnnga
language	ylu							2009-07-29		Aribwaung
language	yly							2009-07-29		Nyâlayu | Nyelâyu
language	yma		lrr				2012-08-12	2009-07-29		Yamphe
language	ymb							2009-07-29		Yambes
language	ymc							2009-07-29		Southern Muji
language	ymd							2009-07-29		Muda
language	yme							2009-07-29		Yameo
language	ymg							2009-07-29		Yamongeri
language	ymh							2009-07-29		Mili
language	ymi							2009-07-29		Moji
language	ymk							2009-07-29		Makwe
language	yml							2009-07-29		Iamalele
language	ymm							2009-07-29		Maay
language	ymn							2009-07-29		Yamna | Sunum
language	ymo							2009-07-29		Yangum Mon
language	ymp							2009-07-29		Yamap
language	ymq							2009-07-29		Qila Muji
language	ymr							2009-07-29		Malasar
language	yms							2009-07-29		Mysian
language	ymt		mtm				2015-02-12	2009-07-29		Mator-Taygi-Karagas
language	ymx							2009-07-29		Northern Muji
language	ymz							2009-07-29		Muzi
language	yna							2009-07-29		Aluo
language	ynb							2025-02-06		Yamben
language	ynd							2009-07-29		Yandruwandha
language	yne							2009-07-29		Lang'e
language	yng							2009-07-29		Yango
language	ynh						2015-02-12	2009-07-29		Yangho
language	ynk							2009-07-29		Naukan Yupik
language	ynl							2009-07-29		Yangulam
language	ynn							2009-07-29		Yana
language	yno							2009-07-29		Yong
language	ynq							2012-08-12		Yendang
language	yns							2009-07-29		Yansi
language	ynu							2009-07-29		Yahuna
language	yo							2005-10-16		Yoruba
language	yob							2009-07-29		Yoba
language	yog							2009-07-29		Yogad
language	yoi							2009-07-29		Yonaguni
language	yok							2009-07-29		Yokuts
language	yol		enm				2026-04-09	2009-07-29		Yola
language	yom							2009-07-29		Yombe
language	yon							2009-07-29		Yongkom
language	yos		zom				2013-09-10	2009-07-29		Yos
language	yot							2012-08-12		Yotti
language	yox							2009-07-29		Yoron
language	yoy							2009-07-29		Yoy
language	ypa							2009-07-29		Phala
language	ypb							2009-07-29		Labo Phowa
language	ypg							2009-07-29		Phola
language	yph							2009-07-29		Phupha
language	ypk					collection		2005-10-16		Yupik languages
language	ypm							2009-07-29		Phuma
language	ypn							2009-07-29		Ani Phowa
language	ypo							2009-07-29		Alo Phola
language	ypp							2009-07-29		Phupa
language	ypz							2009-07-29		Phuza
language	yra							2009-07-29		Yerakai
language	yrb							2009-07-29		Yareba
language	yre							2009-07-29		Yaouré
language	yri						2016-05-30	2009-07-29		Yarí
language	yrk							2009-07-29		Nenets
language	yrl							2009-07-29		Nhengatu
language	yrm							2013-09-10		Yirrk-Mel
language	yrn							2009-07-29		Yerong
language	yro							2016-05-30		Yaroamë
language	yrs							2009-07-29		Yarsun
language	yrw							2009-07-29		Yarawata
language	yry							2013-09-10		Yarluyandi
language	ysc							2009-07-29		Yassic
language	ysd							2009-07-29		Samatao
language	ysg							2012-08-12		Sonaga
language	ysl							2009-07-29		Yugoslavian Sign Language
language	ysm							2021-02-20		Myanmar Sign Language
language	ysn							2009-07-29		Sani
language	yso							2009-07-29		Nisi (China)
language	ysp							2009-07-29		Southern Lolopo
language	ysr							2009-07-29		Sirenik Yupik
language	yss							2009-07-29		Yessan-Mayo
language	ysy							2009-07-29		Sanie
language	yta							2009-07-29		Talu
language	ytl							2009-07-29		Tanglang
language	ytp							2009-07-29		Thopho
language	ytw							2010-03-11		Yout Wam
language	yty							2013-09-10		Yatay
language	yua							2009-07-29		Yucateco | Yucatec Maya
language	yub							2009-07-29		Yugambal
language	yuc							2009-07-29		Yuchi
language	yud				jrb			2009-07-29		Judeo-Tripolitanian Arabic
language	yue				zh			2009-07-29		Yue Chinese | Cantonese
language	yuf							2009-07-29		Havasupai-Walapai-Yavapai
language	yug							2009-07-29		Yug
language	yui							2009-07-29		Yurutí
language	yuj							2009-07-29		Karkar-Yuri
language	yuk							2009-07-29		Yuki
language	yul							2009-07-29		Yulu
language	yum							2009-07-29		Quechan
language	yun							2009-07-29		Bena (Nigeria)
language	yup							2009-07-29		Yukpa
language	yuq							2009-07-29		Yuqui
language	yur							2009-07-29		Yurok
language	yut							2009-07-29		Yopno
language	yuu		yug				2014-02-28	2009-07-29		Yugh
language	yuw							2009-07-29		Yau (Morobe Province)
language	yux							2009-07-29		Southern Yukaghir
language	yuy							2009-07-29		East Yugur
language	yuz							2009-07-29		Yuracare
language	yva							2009-07-29		Yawa
language	yvt							2009-07-29		Yavitero
language	ywa							2009-07-29		Kalou
language	ywg							2013-09-10		Yinhawangka
language	ywl							2009-07-29		Western Lalu
language	ywn							2009-07-29		Yawanawa
language	ywq							2009-07-29		Wuding-Luquan Yi
language	ywr							2009-07-29		Yawuru
language	ywt							2009-07-29		Xishanba Lalo | Central Lalo
language	ywu							2009-07-29		Wumeng Nasu
language	yww							2009-07-29		Yawarawarga
language	yxa							2013-09-10		Mayawali
language	yxg							2012-08-12		Yagara
language	yxl							2013-09-10		Yardliyawarra
language	yxm							2013-09-10		Yinwum
language	yxu							2013-09-10		Yuyu
language	yxy							2012-08-12		Yabula Yabula
language	yyr							2013-09-03		Yir Yoront
language	yyu							2009-07-29		Yau (Sandaun Province)
language	yyz							2009-07-29		Ayizi
language	yzg							2009-07-29		E'ma Buyang
language	yzk							2009-07-29		Zokhuo
language	za					macrolanguage		2005-10-16		Zhuang | Chuang
language	zaa				zap			2009-07-29		Sierra de Juárez Zapotec
language	zab				zap			2009-07-29		Western Tlacolula Valley Zapotec | San Juan Guelavía Zapotec
language	zac				zap			2009-07-29		Ocotlán Zapotec
language	zad				zap			2009-07-29		Cajonos Zapotec
language	zae				zap			2009-07-29		Yareni Zapotec
language	zaf				zap			2009-07-29		Ayoquesco Zapotec
language	zag							2009-07-29		Zaghawa
language	zah							2009-07-29		Zangwal
language	zai				zap			2009-07-29		Isthmus Zapotec
language	zaj							2009-07-29		Zaramo
language	zak							2009-07-29		Zanaki
language	zal							2009-07-29		Zauzou
language	zam				zap			2009-07-29		Miahuatlán Zapotec
language	zao				zap			2009-07-29		Ozolotepec Zapotec
language	zap					macrolanguage		2005-10-16		Zapotec
language	zaq				zap			2009-07-29		Aloápam Zapotec
language	zar				zap			2009-07-29		Rincón Zapotec
language	zas				zap			2009-07-29		Santo Domingo Albarradas Zapotec
language	zat				zap			2009-07-29		Tabaa Zapotec
language	zau							2009-07-29		Zangskari
language	zav				zap			2009-07-29		Yatzachi Zapotec
language	zaw				zap			2009-07-29		Mitla Zapotec
language	zax				zap			2009-07-29		Xadani Zapotec
language	zay							2009-07-29		Zayse-Zergulla | Zaysete
language	zaz							2009-07-29		Zari
language	zba							2020-03-28		Balaibalan
language	zbc							2009-07-29		Central Berawan
language	zbe							2009-07-29		East Berawan
language	zbl			Blis				2007-08-21		Blissymbols | Bliss | Blissymbolics
language	zbt							2009-07-29		Batui
language	zbu							2021-02-20		Bu (Bauchi State)
language	zbw							2009-07-29		West Berawan
language	zca				zap			2009-07-29		Coatecas Altas Zapotec
language	zcd				zap			2022-02-25		Las Delicias Zapotec
language	zch				za			2009-07-29		Central Hongshuihe Zhuang
language	zdj							2009-07-29		Ngazidja Comorian
language	zea							2009-07-29		Zeeuws
language	zeg							2009-07-29		Zenag
language	zeh				za			2009-07-29		Eastern Hongshuihe Zhuang
language	zem							2023-03-17		Zeem
language	zen							2005-10-16		Zenaga
language	zga							2009-07-29		Kinga
language	zgb				za			2009-07-29		Guibei Zhuang
language	zgh							2013-01-25		Standard Moroccan Tamazight
language	zgm				za			2009-07-29		Minz Zhuang
language	zgn				za			2009-07-29		Guibian Zhuang
language	zgr							2009-07-29		Magori
language	zh					macrolanguage		2005-10-16		Chinese
language	zhb							2009-07-29		Zhaba
language	zhd				za			2009-07-29		Dai Zhuang
language	zhi							2009-07-29		Zhire
language	zhk							2026-05-05		Kurdish Sign Language
language	zhn				za			2009-07-29		Nong Zhuang
language	zhw							2009-07-29		Zhoa
language	zhx					collection		2009-07-29		Chinese (family)
language	zia							2009-07-29		Zia
language	zib							2009-07-29		Zimbabwe Sign Language
language	zik							2009-07-29		Zimakani
language	zil							2011-08-16		Zialo
language	zim							2009-07-29		Mesme
language	zin							2009-07-29		Zinza
language	zir		scv				2020-03-28	2009-07-29		Ziriya
language	ziw							2009-07-29		Zigula
language	ziz							2009-07-29		Zizilivakan
language	zka							2009-07-29		Kaimbulawa
language	zkb		kjh				2023-03-17	2009-07-29		Koibal
language	zkd							2012-08-12		Kadu
language	zkg							2009-07-29		Koguryo
language	zkh							2009-07-29		Khorezmian
language	zkk							2009-07-29		Karankawa
language	zkn							2012-08-12		Kanan
language	zko							2009-07-29		Kott
language	zkp							2009-07-29		São Paulo Kaingáng
language	zkr							2009-07-29		Zakhring
language	zkt							2009-07-29		Kitan
language	zku							2009-07-29		Kaurna
language	zkv							2009-07-29		Krevinian
language	zkz							2009-07-29		Khazar
language	zla							2021-02-20		Zula
language	zle					collection		2009-07-29		East Slavic languages
language	zlj				za			2009-07-29		Liujiang Zhuang
language	zlm				ms			2009-07-29		Malay (individual language)
language	zln				za			2009-07-29		Lianshan Zhuang
language	zlq				za			2009-07-29		Liuqian Zhuang
language	zls					collection		2009-07-29		South Slavic languages
language	zlu							2023-03-17		Zul
language	zlw					collection		2009-07-29		West Slavic languages
language	zma							2009-07-29		Manda (Australia)
language	zmb							2009-07-29		Zimba
language	zmc							2009-07-29		Margany
language	zmd							2009-07-29		Maridan
language	zme							2009-07-29		Mangerr
language	zmf							2009-07-29		Mfinu
language	zmg							2009-07-29		Marti Ke
language	zmh							2009-07-29		Makolkol
language	zmi				ms			2009-07-29		Negeri Sembilan Malay
language	zmj							2009-07-29		Maridjabin
language	zmk							2009-07-29		Mandandanyi
language	zml							2009-07-29		Matngala
language	zmm							2009-07-29		Marimanindji | Marramaninyshi
language	zmn							2009-07-29		Mbangwe
language	zmo							2009-07-29		Molo
language	zmp							2009-07-29		Mbuun
language	zmq							2009-07-29		Mituku
language	zmr							2009-07-29		Maranunggu
language	zms							2009-07-29		Mbesa
language	zmt							2009-07-29		Maringarr
language	zmu							2009-07-29		Muruwari
language	zmv							2009-07-29		Mbariman-Gudhinma
language	zmw							2009-07-29		Mbo (Democratic Republic of Congo)
language	zmx							2009-07-29		Bomitaba
language	zmy							2009-07-29		Mariyedi
language	zmz							2009-07-29		Mbandja
language	zna							2009-07-29		Zan Gula
language	znd					collection		2005-10-16		Zande languages
language	zne							2009-07-29		Zande (individual language)
language	zng							2009-07-29		Mang
language	znk							2009-07-29		Manangkari
language	zns							2009-07-29		Mangas
language	zoc							2009-07-29		Copainalá Zoque
language	zoh							2009-07-29		Chimalapa Zoque
language	zom							2009-07-29		Zou
language	zoo				zap			2009-07-29		Asunción Mixtepec Zapotec
language	zoq							2009-07-29		Tabasco Zoque
language	zor							2009-07-29		Rayón Zoque
language	zos							2009-07-29		Francisco León Zoque
language	zpa				zap			2009-07-29		Lachiguiri Zapotec
language	zpb				zap			2009-07-29		Yautepec Zapotec
language	zpc				zap			2009-07-29		Choapan Zapotec
language	zpd				zap			2009-07-29		Southeastern Ixtlán Zapotec
language	zpe				zap			2009-07-29		Petapa Zapotec
language	zpf				zap			2009-07-29		San Pedro Quiatoni Zapotec
language	zpg				zap			2009-07-29		Guevea De Humboldt Zapotec
language	zph				zap			2009-07-29		Totomachapan Zapotec
language	zpi				zap			2009-07-29		Santa María Quiegolani Zapotec
language	zpj				zap			2009-07-29		Quiavicuzas Zapotec
language	zpk				zap			2009-07-29		Tlacolulita Zapotec
language	zpl				zap			2009-07-29		Lachixío Zapotec
language	zpm				zap			2009-07-29		Mixtepec Zapotec
language	zpn				zap			2009-07-29		Santa Inés Yatzechi Zapotec
language	zpo				zap			2009-07-29		Amatlán Zapotec
language	zpp				zap			2009-07-29		El Alto Zapotec
language	zpq				zap			2009-07-29		Zoogocho Zapotec
language	zpr				zap			2009-07-29		Santiago Xanica Zapotec
language	zps				zap			2009-07-29		Coatlán Zapotec
language	zpt				zap			2009-07-29		San Vicente Coatlán Zapotec
language	zpu				zap			2009-07-29		Yalálag Zapotec
language	zpv				zap			2009-07-29		Chichicapan Zapotec
language	zpw				zap			2009-07-29		Zaniza Zapotec
language	zpx				zap			2009-07-29		San Baltazar Loxicha Zapotec
language	zpy				zap			2009-07-29		Mazaltepec Zapotec
language	zpz				zap			2009-07-29		Texmelucan Zapotec
language	zqe				za			2009-07-29		Qiubei Zhuang
language	zra							2009-07-29		Kara (Korea)
language	zrg							2009-07-29		Mirgan
language	zrn							2009-07-29		Zerenkel
language	zro							2009-07-29		Záparo
language	zrp							2009-07-29		Zarphatic
language	zrs							2009-07-29		Mairasi
language	zsa							2009-07-29		Sarasira
language	zsk							2009-07-29		Kaskean
language	zsl							2009-07-29		Zambian Sign Language
language	zsm				ms			2009-07-29		Standard Malay
language	zsr				zap			2009-07-29		Southern Rincon Zapotec
language	zsu							2009-07-29		Sukurum
language	zte				zap			2009-07-29		Elotepec Zapotec
language	ztg				zap			2009-07-29		Xanaguía Zapotec
language	ztl				zap			2009-07-29		Lapaguía-Guivini Zapotec
language	ztm				zap			2009-07-29		San Agustín Mixtepec Zapotec
language	ztn				zap			2009-07-29		Santa Catarina Albarradas Zapotec
language	ztp				zap			2009-07-29		Loxicha Zapotec
language	ztq				zap			2009-07-29		Quioquitani-Quierí Zapotec
language	zts				zap			2009-07-29		Tilquiapan Zapotec
language	ztt				zap			2009-07-29		Tejalapan Zapotec
language	ztu				zap			2009-07-29		Güilá Zapotec
language	ztx				zap			2009-07-29		Zaachila Zapotec
language	zty				zap			2009-07-29		Yatee Zapotec
language	zu			Latn				2005-10-16		Zulu
language	zua						2023-03-17	2009-07-29		Zeem
language	zuh							2009-07-29		Tokano
language	zum							2009-07-29		Kumzari
language	zun							2005-10-16		Zuni
language	zuy							2009-07-29		Zumaya
language	zwa							2009-07-29		Zay
language	zxx					special		2006-03-08		No linguistic content | Not applicable
language	zyb				za			2009-07-29		Yongbei Zhuang
language	zyg				za			2009-07-29		Yang Zhuang
language	zyj				za			2009-07-29		Youjiang Zhuang
language	zyn				za			2009-07-29		Yongnan Zhuang
language	zyp							2009-07-29		Zyphe Chin
language	zza					macrolanguage		2006-08-24		Zaza | Dimili | Dimli (macrolanguage) | Kirdki | Kirmanjki (macrolanguage) | Zazaki
language	zzj				za			2009-07-29		Zuojiang Zhuang
extlang	aao		aao		ar			2009-07-29	ar	Algerian Saharan Arabic
extlang	abh		abh		ar			2009-07-29	ar	Tajiki Arabic
extlang	abv		abv		ar			2009-07-29	ar	Baharna Arabic
extlang	acm		acm		ar			2009-07-29	ar	Mesopotamian Arabic
extlang	acq		acq		ar			2009-07-29	ar	Ta'izzi-Adeni Arabic
extlang	acw		acw		ar			2009-07-29	ar	Hijazi Arabic
extlang	acx		acx		ar			2009-07-29	ar	Omani Arabic
extlang	acy		acy		ar			2009-07-29	ar	Cypriot Arabic
extlang	adf		adf		ar			2009-07-29	ar	Dhofari Arabic
extlang	ads		ads					2009-07-29	sgn	Adamorobe Sign Language
extlang	aeb		aeb		ar			2009-07-29	ar	Tunisian Arabic
extlang	aec		aec		ar			2009-07-29	ar	Saidi Arabic
extlang	aed		aed					2009-07-29	sgn	Argentine Sign Language
extlang	aen		aen					2009-07-29	sgn	Armenian Sign Language
extlang	afb		afb		ar			2009-07-29	ar	Gulf Arabic
extlang	afg		afg					2009-07-29	sgn	Afghan Sign Language
extlang	ajp		ajp		ar		2023-03-17	2009-07-29	ar	South Levantine Arabic
extlang	ajs		ajs					2022-02-25	sgn	Algerian Jewish Sign Language
extlang	apc		apc		ar			2009-07-29	ar	Levantine Arabic
extlang	apd		apd		ar			2009-07-29	ar	Sudanese Arabic
extlang	arb		arb		ar			2009-07-29	ar	Standard Arabic
extlang	arq		arq		ar			2009-07-29	ar	Algerian Arabic
extlang	ars		ars		ar			2009-07-29	ar	Najdi Arabic
extlang	ary		ary		ar			2009-07-29	ar	Moroccan Arabic
extlang	arz		arz		ar			2009-07-29	ar	Egyptian Arabic
extlang	ase		ase					2009-07-29	sgn	American Sign Language
extlang	asf		asf					2009-07-29	sgn	Auslan | Australian Sign Language
extlang	asp		asp					2009-07-29	sgn	Algerian Sign Language
extlang	asq		asq					2009-07-29	sgn	Austrian Sign Language
extlang	asw		asw					2009-07-29	sgn	Australian Aborigines Sign Language
extlang	auz		auz		ar			2009-07-29	ar	Uzbeki Arabic
extlang	avl		avl		ar			2009-07-29	ar	Eastern Egyptian Bedawi Arabic
extlang	ayh		ayh		ar			2009-07-29	ar	Hadrami Arabic
extlang	ayl		ayl		ar			2009-07-29	ar	Libyan Arabic
extlang	ayn		ayn		ar			2009-07-29	ar	Sanaani Arabic
extlang	ayp		ayp		ar			2009-07-29	ar	North Mesopotamian Arabic
extlang	bbz		bbz		ar		2020-03-28	2009-07-29	ar	Babalia Creole Arabic
extlang	bfi		bfi					2009-07-29	sgn	British Sign Language
extlang	bfk		bfk					2009-07-29	sgn	Ban Khor Sign Language
extlang	bjn		bjn		ms			2009-07-29	ms	Banjar
extlang	bog		bog					2009-07-29	sgn	Bamako Sign Language
extlang	bqn		bqn					2009-07-29	sgn	Bulgarian Sign Language
extlang	bqy		bqy					2009-07-29	sgn	Bengkala Sign Language
extlang	btj		btj		ms			2009-07-29	ms	Bacanese Malay
extlang	bve		bve		ms			2009-07-29	ms	Berau Malay
extlang	bvl		bvl					2009-07-29	sgn	Bolivian Sign Language
extlang	bvu		bvu		ms			2009-07-29	ms	Bukit Malay
extlang	bzs		bzs					2009-07-29	sgn	Brazilian Sign Language
extlang	cdo		cdo		zh			2009-07-29	zh	Min Dong Chinese
extlang	cds		cds					2009-07-29	sgn	Chadian Sign Language
extlang	cjy		cjy		zh			2009-07-29	zh	Jinyu Chinese
extlang	cmn		cmn		zh			2009-07-29	zh	Mandarin Chinese
extlang	cnp		cnp		zh			2020-03-28	zh	Northern Ping Chinese | Northern Pinghua
extlang	coa		coa		ms			2009-07-29	ms	Cocos Islands Malay
extlang	cpx		cpx		zh			2009-07-29	zh	Pu-Xian Chinese
extlang	csc		csc					2009-07-29	sgn	Catalan Sign Language | Lengua de señas catalana | Llengua de Signes Catalana
extlang	csd		csd					2009-07-29	sgn	Chiangmai Sign Language
extlang	cse		cse					2009-07-29	sgn	Czech Sign Language
extlang	csf		csf					2009-07-29	sgn	Cuba Sign Language
extlang	csg		csg					2009-07-29	sgn	Chilean Sign Language
extlang	csl		csl					2009-07-29	sgn	Chinese Sign Language
extlang	csn		csn					2009-07-29	sgn	Colombian Sign Language
extlang	csp		csp		zh			2020-03-28	zh	Southern Ping Chinese | Southern Pinghua
extlang	csq		csq					2009-07-29	sgn	Croatia Sign Language
extlang	csr		csr					2009-07-29	sgn	Costa Rican Sign Language
extlang	csx		csx					2021-02-20	sgn	Cambodian Sign Language
extlang	czh		czh		zh			2009-07-29	zh	Huizhou Chinese
extlang	czo		czo		zh			2009-07-29	zh	Min Zhong Chinese
extlang	doq		doq					2009-07-29	sgn	Dominican Sign Language
extlang	dse		dse					2009-07-29	sgn	Dutch Sign Language
extlang	dsl		dsl					2009-07-29	sgn	Danish Sign Language
extlang	dsz		dsz					2022-02-25	sgn	Mardin Sign Language
extlang	dup		dup		ms			2009-07-29	ms	Duano
extlang	dyl		dyl					2026-04-09	sgn	Bhutanese Sign Language
extlang	ecs		ecs					2009-07-29	sgn	Ecuadorian Sign Language
extlang	ehs		ehs					2021-02-20	sgn	Miyakubo Sign Language
extlang	esl		esl					2009-07-29	sgn	Egypt Sign Language
extlang	esn		esn					2009-07-29	sgn	Salvadoran Sign Language
extlang	eso		eso					2009-07-29	sgn	Estonian Sign Language
extlang	eth		eth					2009-07-29	sgn	Ethiopian Sign Language
extlang	fcs		fcs					2009-07-29	sgn	Quebec Sign Language
extlang	fse		fse					2009-07-29	sgn	Finnish Sign Language
extlang	fsl		fsl					2009-07-29	sgn	French Sign Language
extlang	fss		fss					2009-07-29	sgn	Finland-Swedish Sign Language | finlandssvenskt teckenspråk | suomenruotsalainen viittomakieli
extlang	gan		gan		zh			2009-07-29	zh	Gan Chinese
extlang	gds		gds					2012-08-12	sgn	Ghandruk Sign Language
extlang	gom		gom		kok			2009-07-29	kok	Goan Konkani
extlang	gse		gse					2009-07-29	sgn	Ghanaian Sign Language
extlang	gsg		gsg					2009-07-29	sgn	German Sign Language
extlang	gsm		gsm					2009-07-29	sgn	Guatemalan Sign Language
extlang	gss		gss					2009-07-29	sgn	Greek Sign Language
extlang	gus		gus					2009-07-29	sgn	Guinean Sign Language
extlang	hab		hab					2009-07-29	sgn	Hanoi Sign Language
extlang	haf		haf					2009-07-29	sgn	Haiphong Sign Language
extlang	hak		hak		zh			2009-07-29	zh	Hakka Chinese
extlang	hds		hds					2009-07-29	sgn	Honduras Sign Language
extlang	hji		hji		ms			2009-07-29	ms	Haji
extlang	hks		hks					2009-07-29	sgn	Hong Kong Sign Language | Heung Kong Sau Yue
extlang	hnm		hnm		zh			2024-12-12	zh	Hainanese
extlang	hos		hos					2009-07-29	sgn	Ho Chi Minh City Sign Language
extlang	hps		hps					2009-07-29	sgn	Hawai'i Sign Language (HSL) | Hawai'i Pidgin Sign Language
extlang	hsh		hsh					2009-07-29	sgn	Hungarian Sign Language
extlang	hsl		hsl					2009-07-29	sgn	Hausa Sign Language
extlang	hsn		hsn		zh			2009-07-29	zh	Xiang Chinese
extlang	icl		icl					2009-07-29	sgn	Icelandic Sign Language
extlang	iks		iks					2015-02-12	sgn	Inuit Sign Language
extlang	ils		ils					2009-07-29	sgn	International Sign
extlang	inl		inl					2009-07-29	sgn	Indonesian Sign Language
extlang	ins		ins					2009-07-29	sgn	Indian Sign Language
extlang	ise		ise					2009-07-29	sgn	Italian Sign Language
extlang	isg		isg					2009-07-29	sgn	Irish Sign Language
extlang	isr		isr					2009-07-29	sgn	Israeli Sign Language
extlang	jak		jak		ms			2009-07-29	ms	Jakun
extlang	jax		jax		ms			2009-07-29	ms	Jambi Malay
extlang	jcs		jcs					2009-07-29	sgn	Jamaican Country Sign Language
extlang	jhs		jhs					2009-07-29	sgn	Jhankot Sign Language
extlang	jks		jks					2021-02-20	sgn	Amami Koniya Sign Language
extlang	jls		jls					2010-03-11	sgn	Jamaican Sign Language
extlang	jos		jos					2009-07-29	sgn	Jordanian Sign Language
extlang	jsl		jsl					2009-07-29	sgn	Japanese Sign Language
extlang	jus		jus					2009-07-29	sgn	Jumla Sign Language
extlang	kgi		kgi					2009-07-29	sgn	Selangor Sign Language
extlang	knn		knn		kok			2009-07-29	kok	Konkani (individual language)
extlang	kvb		kvb		ms			2009-07-29	ms	Kubu
extlang	kvk		kvk					2009-07-29	sgn	Korean Sign Language
extlang	kvr		kvr		ms			2009-07-29	ms	Kerinci
extlang	kxd		kxd		ms			2009-07-29	ms	Brunei
extlang	lbs		lbs					2009-07-29	sgn	Libyan Sign Language
extlang	lce		lce		ms			2009-07-29	ms	Loncong | Sekak
extlang	lcf		lcf		ms			2009-07-29	ms	Lubu
extlang	lgs		lgs					2023-03-17	sgn	Guinea-Bissau Sign Language | Língua Gestual Guineense
extlang	liw		liw		ms			2009-07-29	ms	Col
extlang	lls		lls					2009-07-29	sgn	Lithuanian Sign Language
extlang	lsb		lsb					2021-02-20	sgn	Burundian Sign Language | Langue des Signes Burundaise
extlang	lsc		lsc					2022-02-25	sgn	Albarradas Sign Language | Lengua de señas Albarradas
extlang	lsg		lsg				2018-03-08	2009-07-29	sgn	Lyons Sign Language
extlang	lsl		lsl					2009-07-29	sgn	Latvian Sign Language
extlang	lsn		lsn					2019-04-16	sgn	Tibetan Sign Language
extlang	lso		lso					2009-07-29	sgn	Laos Sign Language
extlang	lsp		lsp					2009-07-29	sgn	Panamanian Sign Language | Lengua de Señas Panameñas
extlang	lst		lst					2009-07-29	sgn	Trinidad and Tobago Sign Language
extlang	lsv		lsv					2019-04-16	sgn	Sivia Sign Language
extlang	lsw		lsw					2022-02-25	sgn	Seychelles Sign Language | Lalang Siny Seselwa | Langue des Signes Seychelloise
extlang	lsy		lsy					2010-03-11	sgn	Mauritian Sign Language
extlang	ltg		ltg		lv			2010-03-11	lv	Latgalian
extlang	luh		luh		zh			2024-12-12	zh	Leizhou Chinese
extlang	lvs		lvs		lv			2010-03-11	lv	Standard Latvian
extlang	lws		lws					2018-03-08	sgn	Malawian Sign Language
extlang	lzh		lzh		zh			2009-07-29	zh	Literary Chinese
extlang	max		max		ms			2009-07-29	ms	North Moluccan Malay
extlang	mdl		mdl					2009-07-29	sgn	Maltese Sign Language
extlang	meo		meo		ms			2009-07-29	ms	Kedah Malay
extlang	mfa		mfa		ms			2009-07-29	ms	Pattani Malay
extlang	mfb		mfb		ms			2009-07-29	ms	Bangka
extlang	mfs		mfs					2009-07-29	sgn	Mexican Sign Language
extlang	min		min		ms			2009-07-29	ms	Minangkabau
extlang	mnp		mnp		zh			2009-07-29	zh	Min Bei Chinese
extlang	mqg		mqg		ms			2009-07-29	ms	Kota Bangun Kutai Malay
extlang	mre		mre					2009-07-29	sgn	Martha's Vineyard Sign Language
extlang	msd		msd					2009-07-29	sgn	Yucatec Maya Sign Language
extlang	msi		msi		ms			2009-07-29	ms	Sabah Malay
extlang	msr		msr					2009-07-29	sgn	Mongolian Sign Language
extlang	mui		mui		ms			2009-07-29	ms	Musi
extlang	mzc		mzc					2009-07-29	sgn	Madagascar Sign Language
extlang	mzg		mzg					2009-07-29	sgn	Monastic Sign Language
extlang	mzy		mzy					2009-07-29	sgn	Mozambican Sign Language
extlang	nan		nan		zh			2009-07-29	zh	Min Nan Chinese
extlang	nbs		nbs					2009-07-29	sgn	Namibian Sign Language
extlang	ncs		ncs					2009-07-29	sgn	Nicaraguan Sign Language
extlang	nsi		nsi					2009-07-29	sgn	Nigerian Sign Language
extlang	nsl		nsl					2009-07-29	sgn	Norwegian Sign Language
extlang	nsp		nsp					2009-07-29	sgn	Nepalese Sign Language
extlang	nsr		nsr					2009-07-29	sgn	Maritime Sign Language
extlang	nzs		nzs					2009-07-29	sgn	New Zealand Sign Language
extlang	okl		okl					2009-07-29	sgn	Old Kentish Sign Language
extlang	orn		orn		ms			2009-07-29	ms	Orang Kanaq
extlang	ors		ors		ms			2009-07-29	ms	Orang Seletar
extlang	pel		pel		ms			2009-07-29	ms	Pekal
extlang	pga		pga		ar			2009-07-29	ar	Sudanese Creole Arabic
extlang	pgz		pgz					2016-05-30	sgn	Papua New Guinean Sign Language
extlang	pks		pks					2009-07-29	sgn	Pakistan Sign Language
extlang	prl		prl					2009-07-29	sgn	Peruvian Sign Language
extlang	prz		prz					2009-07-29	sgn	Providencia Sign Language
extlang	psc		psc					2009-07-29	sgn	Iranian Sign Language | Persian Sign Language
extlang	psd		psd					2009-07-29	sgn	Plains Indian Sign Language
extlang	pse		pse		ms			2009-07-29	ms	Central Malay
extlang	psg		psg					2009-07-29	sgn	Penang Sign Language
extlang	psl		psl					2009-07-29	sgn	Puerto Rican Sign Language
extlang	pso		pso					2009-07-29	sgn	Polish Sign Language
extlang	psp		psp					2009-07-29	sgn	Philippine Sign Language
extlang	psr		psr					2009-07-29	sgn	Portuguese Sign Language
extlang	pys		pys					2010-03-11	sgn	Paraguayan Sign Language | Lengua de Señas del Paraguay
extlang	rib		rib					2022-02-25	sgn	Bribri Sign Language
extlang	rms		rms					2009-07-29	sgn	Romanian Sign Language
extlang	rnb		rnb					2022-02-25	sgn	Brunca Sign Language
