entryId	lemma	partOfSpeech
oewn-chicken_hawk-n	chicken hawk	n
oewn-chicken_Kiev-n	chicken Kiev	n
oewn-chicken_leg-n	chicken leg	n
oewn-chicken_liver-n	chicken liver	n
oewn-chicken_louse-n	chicken louse	n
oewn-chicken_manure-n	chicken manure	n
oewn-chicken_Marengo-n	chicken Marengo	n
oewn-chicken_mousse-n	chicken mousse	n
oewn-chicken_out-v	chicken out	v
oewn-chicken_paprika-n	chicken paprika	n
oewn-chicken_paprikash-n	chicken paprikash	n
oewn-chicken_provencale-n	chicken provencale	n
oewn-chicken_purloo-n	chicken purloo	n
oewn-chicken_roundworm-n	chicken roundworm	n
oewn-chicken_run-n	chicken run	n
oewn-chicken_salad-n	chicken salad	n
oewn-chicken_sandwich-n	chicken sandwich	n
oewn-chicken_scratch-n	chicken scratch	n
oewn-chicken_sexer-n	chicken sexer	n
oewn-chicken_snake-n	chicken snake	n
oewn-chicken_soup-n	chicken soup	n
oewn-chicken_stew-n	chicken stew	n
oewn-chicken_stock-n	chicken stock	n
oewn-chicken_taco-n	chicken taco	n
oewn-chicken_Tetrazzini-n	chicken Tetrazzini	n
oewn-chicken_wing-n	chicken wing	n
oewn-chicken_wire-n	chicken wire	n
oewn-chicken_yard-n	chicken yard	n
oewn-chicken-a	chicken	a
oewn-chicken-breasted-a	chicken-breasted	a
oewn-chicken-fight-v	chicken-fight	v
oewn-chicken-n	chicken	n
oewn-chickenfeed-n	chickenfeed	n
oewn-chickenfight-v	chickenfight	v
oewn-chickenhearted-a	chickenhearted	a
oewn-chickenpox-n	chickenpox	n
oewn-chickenshit-n	chickenshit	n
oewn-chickeree-n	chickeree	n
oewn-chickpea_plant-n	chickpea plant	n
oewn-chickpea-n		
oewn-chickweed_phlox-n	chickweed phlox	n
oewn-chickweed-n	chickweed	n
oewn-chicle_gum-n	chicle gum	n
oewn-chicle-n		
oewn-chicness-n	chicness	n
oewn-chicory_escarole-n	chicory escarole	n
oewn-chicory_plant-n	chicory plant	n
oewn-chicory_root-n	chicory root	n
oewn-chicory-n		
oewn-chicot-n	chicot	n
oewn-chide-v		
oewn-chiding-n		
oewn-chief_assistant-n	chief assistant	n
oewn-chief_constable-n	chief constable	n
oewn-chief_executive_officer-n	chief executive officer	n
oewn-chief_executive-n	chief executive	n
oewn-Chief_Executive-n	Chief Executive	n
oewn-chief_financial_officer-n	chief financial officer	n
oewn-chief_justice-n	chief justice	n
oewn-chief_of_staff-n	chief of staff	n
oewn-chief_of_state-n	chief of state	n
oewn-chief_operating_officer-n	chief operating officer	n
oewn-chief_petty_officer-n	chief petty officer	n
oewn-chief_secretary_to_the_Treasury-n	chief secretary to the Treasury	n
oewn-chief_secretary-n	chief secretary	n
oewn-chief-a		
oewn-chief-n		
oewn-chiefly-r		
oewn-chieftain-n		
oewn-chieftaincy-n		
oewn-chieftainship-n	chieftainship	n
oewn-chiffon_cake-n	chiffon cake	n
oewn-chiffon-n		
oewn-chiffonier-n		
oewn-chigetai-n	chigetai	n
oewn-chigger_flower-n	chigger flower	n
oewn-chigger-n	chigger	n
oewn-chiggerflower-n	chiggerflower	n
oewn-chignon-n		
oewn-chigoe_flea-n	chigoe flea	n
oewn-chigoe-n		
oewn-Chihuahua-n		
oewn-Chihuahuan_spotted_whiptail-n	Chihuahuan spotted whiptail	n
oewn-chilblain-n		
oewn-chilblained-a	chilblained	a
oewn-chilblains-n	chilblains	n
oewn-child_abuse-n		
oewn-child_care-n	child care	n
oewn-child_molester-n	child molester	n
oewn-child_neglect-n	child neglect	n
oewn-child_pornography-n	child pornography	n
oewn-child_psychology-n	child psychology	n
oewn-child_support-n	child support	n
oewn-child_welfare_agency-n	child welfare agency	n
oewn-child_welfare_service-n	child welfare service	n
oewn-child-ap-s_body-n	child's body	n
oewn-child-ap-s_game-n	child's game	n
oewn-child-ap-s_play-n	child's play	n
oewn-child-ap-s_room-n	child's room	n
oewn-child-centered-a	child-centered	a
oewn-child-n	child	n
oewn-child-proof-v	child-proof	v
oewn-childbearing-a	childbearing	a
oewn-childbearing-n	childbearing	n
oewn-childbed_fever-n	childbed fever	n
oewn-childbed-n		
oewn-childbirth-n	childbirth	n
oewn-childbirth-preparation_class-n	childbirth-preparation class	n
oewn-childcare-n	childcare	n
oewn-childhood_autism-n	childhood autism	n
oewn-childhood-n		
oewn-childish-a		
oewn-childishly-r	childishly	r
oewn-childishness-n	childishness	n
oewn-childless-a	childless	a
oewn-childlessness-n	childlessness	n
oewn-childlike-a		
oewn-childly-a	childly	a
oewn-childproof-v	childproof	v
oewn-Chile_bonito-n	Chile bonito	n
oewn-Chile_hazel-n	Chile hazel	n
oewn-Chile_nut-n	Chile nut	n
oewn-chile_pine-n	chile pine	n
oewn-Chile_tarweed-n	Chile tarweed	n
oewn-chile-n		
oewn-Chilean_bonito-n	Chilean bonito	n
oewn-Chilean_cedar-n	Chilean cedar	n
oewn-Chilean_firebush-n	Chilean firebush	n
oewn-Chilean_flameflower-n	Chilean flameflower	n
oewn-Chilean_hazelnut-n	Chilean hazelnut	n
oewn-Chilean_jasmine-n	Chilean jasmine	n
oewn-Chilean_monetary_unit-n	Chilean monetary unit	n
oewn-Chilean_nut-n	Chilean nut	n
oewn-Chilean_peso-n	Chilean peso	n
oewn-Chilean_rimu-n	Chilean rimu	n
oewn-Chilean_strawberry-n	Chilean strawberry	n
oewn-Chilean-a		
oewn-Chilean-n		
oewn-chili_con_carne-n		
oewn-chili_dog-n	chili dog	n
oewn-chili_pepper-n	chili pepper	n
oewn-chili_powder-n	chili powder	n
oewn-chili_sauce-n	chili sauce	n
oewn-chili_vinegar-n	chili vinegar	n
oewn-chili-n		
oewn-chiliad-n	chiliad	n
oewn-chiliasm-n		
oewn-chiliast-n		
oewn-chiliastic-a		
oewn-chill_out-v	chill out	v
oewn-chill-n		
oewn-chill-v		
oewn-chiller-n	chiller	n
oewn-chilli_pepper-n	chilli pepper	n
oewn-chilli-n		
oewn-chilliness-n	chilliness	n
oewn-chilling-a		
oewn-chilling-n		
oewn-chills_and_fever-n	chills and fever	n
oewn-chilly-a	chilly	a
oewn-chilly-n	chilly	n
oewn-Chilomeniscus_cinctus-n	Chilomeniscus cinctus	n
oewn-Chilopsis_linearis-n	Chilopsis linearis	n
oewn-Chiluba-n	Chiluba	n
oewn-Chimaera_monstrosa-n	Chimaera monstrosa	n
oewn-chimaera-n	chimaera	n
oewn-Chimaera-n	Chimaera	n
oewn-Chimakum-n	Chimakum	n
oewn-Chimaphila_corymbosa-n	Chimaphila corymbosa	n
oewn-Chimaphila_umbellata-n	Chimaphila umbellata	n
oewn-Chimariko_language-n	Chimariko language	n
oewn-Chimariko-n	Chimariko	n
oewn-chime_in-v	chime in	v
oewn-chime-n	chime	n
oewn-chime-v	chime	v
oewn-chimer-n	chimer	n
oewn-chimera-n		
oewn-Chimera-n		
oewn-chimeral-a	chimeral	a
oewn-chimeric-a		
oewn-chimerical-a		
oewn-chimney_bellflower-n	chimney bellflower	n
oewn-chimney_breast-n	chimney breast	n
oewn-chimney_corner-n	chimney corner	n
oewn-chimney_plant-n	chimney plant	n
oewn-chimney_swallow-n	chimney swallow	n
oewn-chimney_swift-n	chimney swift	n
oewn-chimney-n		
oewn-chimneypiece-n	chimneypiece	n
oewn-chimneypot-n	chimneypot	n
oewn-chimneystack-n	chimneystack	n
oewn-chimneysweep-n	chimneysweep	n
oewn-chimneysweeper-n	chimneysweeper	n
oewn-Chimonanthus_praecox-n	Chimonanthus praecox	n
oewn-chimp-n		
oewn-chimpanzee-n		
oewn-ChiMwini_language-n	ChiMwini language	n
oewn-ChiMwini-n	ChiMwini	n
oewn-Chin_language-n	Chin language	n
oewn-chin_music-n	chin music	n
oewn-chin_rest-n	chin rest	n
oewn-chin_strap-n	chin strap	n
oewn-chin_up-v	chin up	v
oewn-chin_wag-n	chin wag	n
oewn-chin_wagging-n	chin wagging	n
oewn-chin-n	chin	n
oewn-Chin-n	Chin	n
oewn-chin-up-n		
oewn-chin-v	chin	v
oewn-chin-wag-n	chin-wag	n
oewn-chin-wagging-n	chin-wagging	n
oewn-China_aster-n	China aster	n
oewn-china_cabinet-n	china cabinet	n
oewn-china_clay-n	china clay	n
oewn-china_closet-n	china closet	n
oewn-China_fleece_vine-n	China fleece vine	n
oewn-China_grass-n	China grass	n
oewn-China_jute-n	China jute	n
oewn-china_pink-n	china pink	n
oewn-China_rose-n	China rose	n
oewn-china_stone-n	china stone	n
oewn-China_tree-n	China tree	n
oewn-china-n		
oewn-chinaberry_tree-n	chinaberry tree	n
oewn-chinaberry-n	chinaberry	n
oewn-Chinaman-n		
oewn-chinaware-n	chinaware	n
oewn-Chinawoman-n	Chinawoman	n
oewn-chincapin-n	chincapin	n
oewn-chinch_bug-n	chinch bug	n
oewn-chinch-n		
oewn-chincherinchee-n	chincherinchee	n
oewn-Chinchilla_laniger-n	Chinchilla laniger	n
oewn-chinchilla_rat-n	chinchilla rat	n
oewn-chinchilla-n		
oewn-chinchillon-n	chinchillon	n
oewn-chinchona-n	chinchona	n
oewn-chinchy-a	chinchy	a
oewn-chine-n	chine	n
oewn-chine-v	chine	v
oewn-Chinese_alligator-n	Chinese alligator	n
oewn-Chinese_angelica_tree-n	Chinese angelica tree	n
oewn-Chinese_angelica-n	Chinese angelica	n
oewn-Chinese_anise-n	Chinese anise	n
oewn-Chinese_black_mushroom-n	Chinese black mushroom	n
oewn-Chinese_brown_sauce-n	Chinese brown sauce	n
oewn-Chinese_cabbage-n	Chinese cabbage	n
oewn-Chinese_celery-n	Chinese celery	n
oewn-Chinese_checkers-n	Chinese checkers	n
oewn-Chinese_chequers-n	Chinese chequers	n
oewn-Chinese_chestnut-n	Chinese chestnut	n
oewn-Chinese_chive-n	Chinese chive	n
oewn-Chinese_cinnamon-n	Chinese cinnamon	n
oewn-Chinese_cork_oak-n	Chinese cork oak	n
oewn-Chinese_date-n	Chinese date	n
oewn-Chinese_deity-n	Chinese deity	n
oewn-Chinese_elm-n	Chinese elm	n
oewn-Chinese_evergreen-n	Chinese evergreen	n
oewn-Chinese_forget-me-not-n	Chinese forget-me-not	n
oewn-Chinese_fried_rice-n	Chinese fried rice	n
oewn-Chinese_goose-n	Chinese goose	n
oewn-Chinese_gooseberry-n	Chinese gooseberry	n
oewn-Chinese_hibiscus-n	Chinese hibiscus	n
oewn-Chinese_holly-n	Chinese holly	n
oewn-Chinese_jujube-n	Chinese jujube	n
oewn-Chinese_lacquer_tree-n	Chinese lacquer tree	n
oewn-Chinese_lantern_plant-n	Chinese lantern plant	n
oewn-Chinese_lantern-n	Chinese lantern	n
oewn-Chinese_magnolia-n	Chinese magnolia	n
oewn-Chinese_monetary_unit-n	Chinese monetary unit	n
oewn-Chinese_mushroom-n	Chinese mushroom	n
oewn-chinese_mustard-n	chinese mustard	n
oewn-Chinese_mustard-n	Chinese mustard	n
oewn-Chinese_paddlefish-n	Chinese paddlefish	n
oewn-Chinese_parasol_tree-n	Chinese parasol tree	n
oewn-Chinese_parasol-n	Chinese parasol	n
oewn-Chinese_parsley-n	Chinese parsley	n
oewn-Chinese_pea_tree-n	Chinese pea tree	n
oewn-Chinese_primrose-n	Chinese primrose	n
oewn-Chinese_privet-n	Chinese privet	n
oewn-Chinese_puzzle-n	Chinese puzzle	n
oewn-Chinese_restaurant_syndrome-n	Chinese restaurant syndrome	n
oewn-Chinese_rhubarb-n	Chinese rhubarb	n
oewn-Chinese_scholar_tree-n	Chinese scholar tree	n
oewn-Chinese_scholartree-n	Chinese scholartree	n
oewn-Chinese_Shan-n	Chinese Shan	n
oewn-Chinese_silk_plant-n	Chinese silk plant	n
oewn-Chinese_water_chestnut-n	Chinese water chestnut	n
oewn-Chinese_white_cabbage-n	Chinese white cabbage	n
oewn-Chinese_white-n	Chinese white	n
oewn-Chinese_wistaria-n	Chinese wistaria	n
oewn-Chinese_wood_oil-n	Chinese wood oil	n
oewn-Chinese_yam-n	Chinese yam	n
oewn-Chinese-a		
oewn-Chinese-n		
oewn-Chinese-red-a	Chinese-red	a
oewn-Chingpo_language-n	Chingpo language	n
oewn-Chingpo-n	Chingpo	n
oewn-chink-n		
oewn-chink-v	chink	v
oewn-chinkapin_oak-n	chinkapin oak	n
oewn-chinkapin-n	chinkapin	n
oewn-chinked-a	chinked	a
oewn-chinless-a	chinless	a
oewn-chinning_bar-n	chinning bar	n
oewn-chino-n	chino	n
oewn-chinoiserie-n		
oewn-Chinook_Jargon-n	Chinook Jargon	n
oewn-Chinook_language-n	Chinook language	n
oewn-chinook_salmon-n	chinook salmon	n
oewn-chinook_wind-n	chinook wind	n
oewn-chinook-n		
oewn-Chinook-n		
oewn-Chinookan_language-n	Chinookan language	n
oewn-Chinookan-n	Chinookan	n
oewn-chinos-n	chinos	n
oewn-chinquapin_oak-n	chinquapin oak	n
oewn-chinquapin-n	chinquapin	n
oewn-chintz-n		
oewn-chintzily-r	chintzily	r
oewn-chintzy-a	chintzy	a
oewn-chiocciole-n	chiocciole	n
oewn-Chiococca_alba-n	Chiococca alba	n
oewn-Chionanthus_virginicus-n	Chionanthus virginicus	n
oewn-Chionochloa_conspicua-n	Chionochloa conspicua	n
oewn-chip_at-v	chip at	v
oewn-chip_away_at-v	chip away at	v
oewn-chip_away-v	chip away	v
oewn-chip_in-v	chip in	v
oewn-chip_off-v	chip off	v
oewn-chip_shot-n	chip shot	n
oewn-chip-n		
oewn-chip-v	chip	v
oewn-chipboard-n	chipboard	n
oewn-Chipewyan_language-n	Chipewyan language	n
oewn-Chipewyan-n		
oewn-chipmunk-n	chipmunk	n
oewn-chipolata-n	chipolata	n
oewn-chipotle-n		
oewn-Chippendale-a	Chippendale	a
oewn-chipper-a	chipper	a
oewn-Chippewa_language-n	Chippewa language	n
oewn-Chippewa-n	Chippewa	n
oewn-Chippewaian_language-n	Chippewaian language	n
oewn-Chippewaian-n	Chippewaian	n
oewn-Chippewyan_language-n	Chippewyan language	n
oewn-Chippewyan-n	Chippewyan	n
oewn-chipping_sparrow-n	chipping sparrow	n
oewn-chipping-n	chipping	n
oewn-chips-n		
oewn-chiralgia-n	chiralgia	n
oewn-Chiricahua_Apache_language-n	Chiricahua Apache language	n
oewn-Chiricahua_Apache-n	Chiricahua Apache	n
oewn-chirk_up-v	chirk up	v
oewn-chirk-v	chirk	v
oewn-chirography-n	chirography	n
oewn-chirology-n	chirology	n
oewn-chiromance-v	chiromance	v
oewn-chiromancer-n		
oewn-chiromancy-n		
oewn-chiromantic-a	chiromantic	a
oewn-Chiron-n	Chiron	n
oewn-chiropodist-n		
oewn-chiropody-n	chiropody	n
oewn-chiropractic-n	chiropractic	n
oewn-chiropractor-n		
oewn-chiropteran-n	chiropteran	n
oewn-chirp-n		
oewn-chirp-v		
oewn-chirpily-r	chirpily	r
oewn-chirpiness-n	chirpiness	n
oewn-chirpy-a		
oewn-chirr-v		
oewn-chirrup-n	chirrup	n
oewn-chirrup-v	chirrup	v
oewn-chisel_in-v	chisel in	v
oewn-chisel_steel-n	chisel steel	n
oewn-chisel-like-a	chisel-like	a
oewn-chisel-n	chisel	n
oewn-chisel-v	chisel	v
oewn-chiseled-a	chiseled	a
oewn-chiseler-n	chiseler	n
oewn-chiseller-n	chiseller	n
oewn-Chishona_language-n	Chishona language	n
oewn-Chishona-n	Chishona	n
oewn-Chislev-n	Chislev	n
oewn-chit_chat-n	chit chat	n
oewn-chit-chat-n	chit-chat	n
oewn-chit-chat-v	chit-chat	v
oewn-chit-n	chit	n
oewn-chitchat-n	chitchat	n
oewn-chitchat-v	chitchat	v
oewn-chitin-n		
oewn-chitinous-a		
oewn-chitlings-n	chitlings	n
oewn-chitlins-n		
oewn-chiton-n	chiton	n
oewn-chittam_bark-n	chittam bark	n
oewn-chittamwood-n	chittamwood	n
oewn-chittem_bark-n	chittem bark	n
oewn-chitter-v	chitter	v
oewn-chitterlings-n	chitterlings	n
oewn-chittimwood-n	chittimwood	n
oewn-chivalric-a		
oewn-chivalrous-a		
oewn-chivalrously-r	chivalrously	r
oewn-chivalry-n		
oewn-chivaree-n	chivaree	n
oewn-chive-n		
oewn-chives-n		
oewn-chivvy-v		
oewn-chivy-v		
oewn-Chiwere_language-n	Chiwere language	n
oewn-Chiwere-n	Chiwere	n
oewn-chlamydeous-a	chlamydeous	a
oewn-Chlamydera_nuchalis-n	Chlamydera nuchalis	n
oewn-Chlamydia_psittaci-n	Chlamydia psittaci	n
oewn-Chlamydia_trachomatis-n	Chlamydia trachomatis	n
oewn-chlamydia-n		
oewn-chlamydial-a	chlamydial	a
oewn-Chlamydosaurus_kingi-n	Chlamydosaurus kingi	n
oewn-chlamydospore-n	chlamydospore	n
oewn-chlamyphore-n	chlamyphore	n
oewn-Chlamyphorus_truncatus-n	Chlamyphorus truncatus	n
oewn-chlamys-n		
oewn-chloasma-n	chloasma	n
oewn-Chlor-Trimeton-n	Chlor-Trimeton	n
oewn-chloral_hydrate-n		
oewn-chlorambucil-n	chlorambucil	n
oewn-chloramine-n	chloramine	n
oewn-chloramine-T-n	chloramine-T	n
oewn-chloramphenicol-n		
oewn-chlorate-n	chlorate	n
oewn-chlordiazepoxide-n	chlordiazepoxide	n
oewn-chlorella-n	chlorella	n
oewn-chlorenchyma-n	chlorenchyma	n
oewn-chlorhexidine-n	chlorhexidine	n
oewn-chloric_acid-n	chloric acid	n
oewn-chloride_of_lime-n	chloride of lime	n
oewn-chloride-n		
oewn-chlorinate-v		
oewn-chlorinated_lime-n	chlorinated lime	n
oewn-chlorination-n		
oewn-chlorine_dioxide-n	chlorine dioxide	n
oewn-chlorine_water-n	chlorine water	n
oewn-chlorine-n		
oewn-chlorinity-n	chlorinity	n
oewn-Chloris_gayana-n	Chloris gayana	n
oewn-Chloris_truncata-n	Chloris truncata	n
oewn-chlorite-n		
oewn-chloroacetophenone-n	chloroacetophenone	n
oewn-chlorobenzene-n	chlorobenzene	n
oewn-chlorobenzylidenemalononitrile-n	chlorobenzylidenemalononitrile	n
oewn-chlorofluorocarbon-n	chlorofluorocarbon	n
oewn-chloroform-n		
oewn-chloroform-v		
oewn-chlorofucin-n	chlorofucin	n
oewn-chlorohydric_acid-n	chlorohydric acid	n
oewn-Chloromycetin-n	Chloromycetin	n
oewn-Chlorophoneus_nigrifrons-n	Chlorophoneus nigrifrons	n
oewn-chlorophyl-n	chlorophyl	n
oewn-chlorophyll_a-n	chlorophyll a	n
oewn-chlorophyll_b-n	chlorophyll b	n
oewn-chlorophyll_c-n	chlorophyll c	n
oewn-chlorophyll_d-n	chlorophyll d	n
oewn-chlorophyll-n		
oewn-chlorophyllose-a	chlorophyllose	a
oewn-chlorophyllous-a	chlorophyllous	a
oewn-Chlorophyllum_molybdites-n	Chlorophyllum molybdites	n
oewn-Chlorophyta-n	Chlorophyta	n
oewn-chlorophyte-n	chlorophyte	n
oewn-chloropicrin-n	chloropicrin	n
oewn-chloroplast-n		
oewn-chloroplatinate-n	chloroplatinate	n
oewn-chloroprene-n	chloroprene	n
oewn-chloroquine-n		
oewn-chlorosis-n	chlorosis	n
oewn-chlorothiazide-n	chlorothiazide	n
oewn-chlorotic-a	chlorotic	a
oewn-chlorous_acid-n	chlorous acid	n
oewn-Chloroxylon_swietenia-n	Chloroxylon swietenia	n
oewn-chlorpheniramine_maleate-n	chlorpheniramine maleate	n
oewn-chlorpromazine-n		
oewn-chlorpyrifos-n	chlorpyrifos	n
oewn-chlortetracycline-n		
oewn-chlorthalidone-n	chlorthalidone	n
oewn-Chlorura_chlorura-n	Chlorura chlorura	n
oewn-choana-n	choana	n
oewn-choanocyte-n	choanocyte	n
oewn-choc-ice-n	choc-ice	n
oewn-choc-n		
oewn-chock_up-v	chock up	v
oewn-chock-a-block-r	chock-a-block	r
oewn-chock-full-a	chock-full	a
oewn-chock-n	chock	n
oewn-chock-r	chock	r
oewn-chock-v	chock	v
oewn-chockablock-a		
oewn-chockful-a	chockful	a
oewn-chocolate_bar-n	chocolate bar	n
oewn-chocolate_cake-n	chocolate cake	n
oewn-chocolate_candy-n	chocolate candy	n
oewn-chocolate_chip_cookie-n	chocolate chip cookie	n
oewn-chocolate_eclair-n	chocolate eclair	n
oewn-chocolate_egg-n	chocolate egg	n
oewn-chocolate_fondue-n	chocolate fondue	n
oewn-chocolate_fudge-n	chocolate fudge	n
oewn-chocolate_ice_cream-n	chocolate ice cream	n
oewn-chocolate_kiss-n	chocolate kiss	n
oewn-chocolate_liquor-n	chocolate liquor	n
oewn-chocolate_milk-n	chocolate milk	n
oewn-chocolate_mousse-n	chocolate mousse	n
oewn-chocolate_pudding-n	chocolate pudding	n
oewn-chocolate_root-n	chocolate root	n
oewn-chocolate_sauce-n	chocolate sauce	n
oewn-chocolate_syrup-n	chocolate syrup	n
oewn-chocolate_tree-n	chocolate tree	n
oewn-chocolate_truffle-n	chocolate truffle	n
oewn-chocolate-brown-a	chocolate-brown	a
oewn-chocolate-colored-a	chocolate-colored	a
oewn-chocolate-coloured-a	chocolate-coloured	a
oewn-chocolate-n		
oewn-Choctaw_language-n	Choctaw language	n
oewn-Choctaw-n		
oewn-Choeronycteris_mexicana-n	Choeronycteris mexicana	n
oewn-choice_morsel-n	choice morsel	n
oewn-choice_of_words-n	choice of words	n
oewn-choice-a		
oewn-choice-n		
oewn-choiceness-n	choiceness	n
oewn-choir_loft-n	choir loft	n
oewn-choir_school-n	choir school	n
oewn-choir_stall-n	choir stall	n
oewn-choir-n		
oewn-choir-v		
oewn-choirboy-n	choirboy	n
oewn-choirgirl-n	choirgirl	n
oewn-choirmaster-n	choirmaster	n
oewn-choke_back-v	choke back	v
oewn-choke_coil-n	choke coil	n
oewn-choke_down-v	choke down	v
oewn-choke_hold-n	choke hold	n
oewn-choke_off-v	choke off	v
oewn-choke_up-v	choke up	v
oewn-choke-full-a	choke-full	a
oewn-choke-n	choke	n
oewn-choke-v	choke	v
oewn-chokecherry_tree-n	chokecherry tree	n
oewn-chokecherry-n	chokecherry	n
oewn-choked-a		
oewn-chokedamp-n	chokedamp	n
oewn-chokehold-n	chokehold	n
oewn-chokepoint-n	chokepoint	n
oewn-choker-n		
oewn-chokey-n	chokey	n
oewn-choking_coil-n	choking coil	n
oewn-choking-a	choking	a
oewn-choking-n		
oewn-choky-a	choky	a
oewn-choky-n	choky	n
oewn-cholangiography-n	cholangiography	n
oewn-cholangitis-n	cholangitis	n
oewn-cholecalciferol-n	cholecalciferol	n
oewn-cholecystectomy-n	cholecystectomy	n
oewn-cholecystitis-n	cholecystitis	n
oewn-cholecystokinin-n	cholecystokinin	n
oewn-cholelithiasis-n	cholelithiasis	n
oewn-cholelithotomy-n	cholelithotomy	n
oewn-choler-n	choler	n
oewn-cholera_infantum-n	cholera infantum	n
oewn-cholera_morbus-n	cholera morbus	n
oewn-cholera-n		
oewn-choleraic-a		
oewn-choleric-a		
oewn-cholestasis-n	cholestasis	n
oewn-cholesterin-n	cholesterin	n
oewn-cholesterol-n		
oewn-cholesterosis_cutis-n	cholesterosis cutis	n
oewn-cholic_acid-n	cholic acid	n
oewn-choline-n		
oewn-cholinergic-a	cholinergic	a
oewn-cholinesterase-n	cholinesterase	n
oewn-cholla-n		
oewn-Choloepus_didactylus-n	Choloepus didactylus	n
oewn-Choloepus_hoffmanni-n	Choloepus hoffmanni	n
oewn-chomp-n		
oewn-chomp-v		
oewn-chomping-n	chomping	n
oewn-chon-n		
oewn-chondrichthian-n	chondrichthian	n
oewn-chondrify-v	chondrify	v
oewn-chondrin-n	chondrin	n
oewn-chondriosome-n	chondriosome	n
oewn-chondrite-n	chondrite	n
oewn-chondritic-a		
oewn-chondrodystrophy-n	chondrodystrophy	n
oewn-chondroma-n	chondroma	n
oewn-chondrosarcoma-n	chondrosarcoma	n
oewn-chondrule-n		
oewn-Chondrus_crispus-n	Chondrus crispus	n
oewn-choo-choo-n	choo-choo	n
oewn-choose_up-v	choose up	v
oewn-choose-v		
oewn-chooser-n	chooser	n
oewn-choosey-a	choosey	a
oewn-choosy-a	choosy	a
oewn-chop_down-v	chop down	v
oewn-chop_off-v	chop off	v
oewn-chop_shop-n	chop shop	n
oewn-chop_shot-n	chop shot	n
oewn-chop_steak-n	chop steak	n
oewn-chop_suey-n	chop suey	n
oewn-chop_up-v	chop up	v
oewn-chop-chop-r	chop-chop	r
oewn-chop-n	chop	n
oewn-chop-suey_greens-n	chop-suey greens	n
oewn-chop-v	chop	v
oewn-chopfallen-a	chopfallen	a
oewn-chophouse-n	chophouse	n
oewn-Chopin-n	Chopin	n
oewn-chopine-n		
oewn-chopped_steak-n	chopped steak	n
oewn-chopped-a		
oewn-chopper_knife-n	chopper knife	n
oewn-chopper-n	chopper	n
oewn-choppiness-n	choppiness	n
oewn-chopping_block-n	chopping block	n
oewn-chopping_board-n	chopping board	n
oewn-chopping_knife-n	chopping knife	n
oewn-choppy-a		
oewn-chopsteak-n	chopsteak	n
oewn-chopstick-n	chopstick	n
oewn-choragic-a	choragic	a
oewn-choragus-n	choragus	n
oewn-choral_ode-n	choral ode	n
oewn-choral-a		
oewn-choral-n		
oewn-chorale_prelude-n	chorale prelude	n
oewn-chorale-n		
oewn-chorally-r	chorally	r
oewn-chord-n		
oewn-chord-v		
oewn-chordal-a	chordal	a
oewn-chordamesoderm-n	chordamesoderm	n
oewn-chordate_family-n	chordate family	n
oewn-chordate_genus-n	chordate genus	n
oewn-chordate-a		
oewn-chordate-n		
oewn-chorditis-n	chorditis	n
oewn-chordomesoderm-n	chordomesoderm	n
oewn-chordophone-n	chordophone	n
oewn-chore-n		
oewn-chorea-n	chorea	n
oewn-choreic_abasia-n	choreic abasia	n
oewn-choreograph-v		
oewn-choreographer-n	choreographer	n
oewn-choreographic-a	choreographic	a
oewn-choreography-n		
oewn-choric-a	choric	a
oewn-chorine-n	chorine	n
oewn-chorioallantoic_membrane-n	chorioallantoic membrane	n
oewn-chorioallantois-n	chorioallantois	n
oewn-choriomeningitis-n	choriomeningitis	n
oewn-chorion-n		
oewn-chorionic_villus_biopsy-n	chorionic villus biopsy	n
oewn-chorionic_villus_sampling-n	chorionic villus sampling	n
oewn-chorionic_villus-n	chorionic villus	n
oewn-chorionic-a	chorionic	a
oewn-chorioretinitis-n	chorioretinitis	n
oewn-Choriotis_australis-n	Choriotis australis	n
oewn-chorister-n		
oewn-Chorizagrotis_auxiliaris-n	Chorizagrotis auxiliaris	n
oewn-chorizo-n		
oewn-choroid_coat-n	choroid coat	n
oewn-choroid_plexus-n	choroid plexus	n
oewn-choroid_vein-n	choroid vein	n
oewn-choroid-n		
oewn-choroidal_artery-n	choroidal artery	n
oewn-choropleth_map-n		
oewn-chortle-n		
oewn-chortle-v		
oewn-chorus_frog-n	chorus frog	n
oewn-chorus_girl-n	chorus girl	n
oewn-chorus_line-n	chorus line	n
oewn-chorus_pedal-n	chorus pedal	n
oewn-chorus-n		
oewn-chorus-v		
oewn-chosen_people-n	chosen people	n
oewn-chosen-n	chosen	n
oewn-Chou_dynasty-n	Chou dynasty	n
oewn-chou-n	chou	n
oewn-Chou-n	Chou	n
oewn-chough-n		
oewn-chouse-v	chouse	v
oewn-chow_chow-n	chow chow	n
oewn-Chow_dynasty-n	Chow dynasty	n
oewn-chow_line-n	chow line	n
oewn-chow_mein-n		
oewn-chow-n	chow	n
oewn-Chow-n	Chow	n
oewn-chowchow-n	chowchow	n
oewn-chowder-n		
oewn-chrestomathy-n		
oewn-chrism-n		
oewn-chrisom-n		
oewn-Christ_plant-n	Christ plant	n
oewn-Christ_thorn-n	Christ thorn	n
oewn-Christ_Within-n	Christ Within	n
oewn-Christ-ap-s-thorn-n	Christ's-thorn	n
oewn-christ-n		
oewn-christella-n	christella	n
oewn-christen-v		
oewn-Christendom-n		
oewn-christening-n	christening	n
