upos	xpos	count
NOUN	DET+ADJ+NSUFF_MASC_DU_NOM	9
NOUN	DET+NOUN_NUM+NSUFF_FEM_SG+CASE_DEF_GEN	9
NOUN	NOUN_NUM+NSUFF_FEM_SG+CASE_INDEF_GEN	9
NOUN	REL_PRON	9
NUM	NOUN_NUM+NSUFF_FEM_PL+CASE_INDEF_GEN	9
NUM	NOUN_NUM+NSUFF_FEM_PL+CASE_INDEF_NOM	9
PRON	PVSUFF_DO:2MS	9
PROPN	ADJ+NSUFF_MASC_PL_NOM	9
PROPN	DET+ADJ+NSUFF_MASC_DU_ACC_POSS	9
PROPN	DET+NOUN+NSUFF_FEM_PL	9
PROPN	IV2D+IV+IVSUFF_SUBJ:D_MOOD:I	9
PUNCT	NOUN_NUM	9
PUNCT	NOUN+CASE_DEF_GEN	9
VERB	IV2D+IV+IVSUFF_SUBJ:D_MOOD:I	9
VERB	IV2FS+IV+IVSUFF_SUBJ:2FS_MOOD:I	9
VERB	PUNC	9
X	DET+NOUN+NSUFF_FEM_SG	9
ADJ	DET+ADJ+NSUFF_FEM_DU_ACC	8
ADJ	DET+ADJ+NSUFF_MASC_PL_GEN_POSS	8
ADJ	DET+NOUN_NUM+CASE_DEF_NOM	8
ADJ	DET+NOUN+NSUFF_FEM_PL+CASE_DEF_GEN	8
ADJ	NOUN_NUM+CASE_DEF_ACC	8
ADJ	NOUN+CASE_DEF_ACC	8
ADP	POSS_PRON_3MS	8
NOUN	NOUN_NUM+NSUFF_FEM_SG+CASE_INDEF_NOM	8
NOUN	REL_PRON+CASE_DEF_ACC	8
NUM	DET+NOUN_NUM+NSUFF_FEM_SG+CASE_DEF_NOM	8
NUM	NOUN_NUM+NSUFF_FEM_PL+CASE_INDEF_ACC	8
NUM	NOUN_NUM+NSUFF_MASC_DU_ACC_POSS	8
PART	TyPO	8
PRON	NOUN	8
PRON	NOUN+CASE_DEF_NOM	8
PRON	PRON_3FP	8
PROPN	ADJ+NSUFF_MASC_DU_ACC	8
PROPN	ADJ+NSUFF_MASC_PL_ACC_POSS	8
PROPN	DET+ADJ+NSUFF_MASC_DU_ACC	8
PROPN	DET+NOUN+NSUFF_FEM_SG+CASE_DEF_GEN	8
PROPN	IV2FS+IV+IVSUFF_SUBJ:2FS_MOOD:SJ	8
PROPN	NOUN+NSUFF_FEM_DU_NOM_POSS	8
PROPN	NOUN+NSUFF_MASC_DU_ACC	8
PROPN	SUB_CONJ	8
VERB	IV3FD+IV+IVSUFF_SUBJ:D_MOOD:SJ	8
VERB	NOUN	8
VERB	NOUN+CASE_DEF_NOM	8
VERB	PV_PASS+PVSUFF_SUBJ:3FD	8
VERB	PV+PVSUFF_SUBJ:2FS	8
ADJ	ADJ+NSUFF_FEM_PL+CASE_INDEF_GEN	7
ADJ	DET+ADJ_NUM+NSUFF_MASC_PL_ACC	7
ADJ	DET+ADJ+NSUFF_FEM_PL+CASE_DEF_ACC	7
ADJ	DET+ADJ+NSUFF_FEM_PL+CASE_DEF_NOM	7
ADJ	DET+ADJ+NSUFF_MASC_DU_ACC_POSS	7
ADJ	DET+NOUN_PROP+CASE_DEF_GEN	7
ADJ	NOUN_NUM+NSUFF_MASC_DU_GEN	7
ADJ	PREP	7
ADP	ADJ+CASE_INDEF_GEN	7
ADP	NOUN+CASE_INDEF_ACC	7
NOUN	ADJ+NSUFF_MASC_PL_ACC_POSS	7
NOUN	DET+NOUN_QUANT+NSUFF_FEM_SG+CASE_DEF_ACC	7
NUM	DET+NOUN_NUM+CASE_DEF_NOM	7
NUM	PUNC	7
PART	SUB_CONJ	7
PROPN	DET+ADJ+CASE_DEF_GEN	7
PROPN	DET+NOUN+NSUFF_MASC_DU_ACC_POSS	7
PROPN	IV1P+IV_PASS+IVSUFF_MOOD:S	7
PROPN	IV3MS+IV+IVSUFF_MOOD:S	7
PUNCT	DET+NOUN+NSUFF_FEM_SG+CASE_DEF_GEN	7
PUNCT	NOUN+CASE_INDEF_GEN	7
VERB	CV+CVSUFF_SUBJ:2FS	7
VERB	FUT_PART	7
VERB	IV3MP+IV_PASS+IVSUFF_SUBJ:MP_MOOD:SJ	7
VERB	PV_PASS+PVSUFF_SUBJ:1S	7
VERB	SUB_CONJ	7
X	PREP	7
X	PV+PVSUFF_SUBJ:3MP	7
ADJ	DET+NOUN+NSUFF_FEM_SG	6
ADJ	NOUN_NUM+NSUFF_FEM_SG+CASE_DEF_ACC	6
ADJ	NOUN_NUM+NSUFF_FEM_SG+CASE_DEF_GEN	6
ADJ	NOUN_QUANT+CASE_DEF_ACC	6
ADJ	NOUN+CASE_DEF_NOM	6
ADJ	NOUN+NSUFF_FEM_SG+CASE_DEF_GEN	6
ADP	DET+ADJ+NSUFF_FEM_SG+CASE_DEF_GEN	6
ADP	DET+NOUN+NSUFF_FEM_SG+CASE_DEF_GEN	6
ADP	NOUN_PROP	6
ADP	NOUN+CASE_INDEF_GEN	6
ADP	PART	6
ADP	SUB_CONJ	6
AUX	IV1S+IV+IVSUFF_MOOD:I	6
AUX	IV1S+IV+IVSUFF_MOOD:J	6
AUX	IV2MS+IV+IVSUFF_MOOD:I	6
AUX	IV3MD+IV+IVSUFF_SUBJ:D_MOOD:I	6
CCONJ	DET+ADJ+NSUFF_FEM_SG+CASE_DEF_GEN	6
NOUN	ADJ+NSUFF_FEM_DU_GEN	6
NOUN	ADJ+NSUFF_MASC_DU_ACC	6
NOUN	ADJ+NSUFF_MASC_DU_NOM	6
NOUN	DET+ADJ+NSUFF_FEM_PL+CASE_DEF_ACC	6
NOUN	DET+NOUN_NUM+NSUFF_FEM_SG+CASE_DEF_NOM	6
NOUN	NOUN_NUM+NSUFF_FEM_SG+CASE_INDEF_ACC	6
NOUN	POSS_PRON_3MS	6
NOUN	PRON_3MS	6
NOUN	PV+PVSUFF_SUBJ:3FS	6
NOUN	PV+PVSUFF_SUBJ:3MP	6
PRON	CVSUFF_DO:1P	6
PRON	DET+NOUN	6
PRON	NOUN_QUANT+CASE_DEF_NOM	6
PRON	PRON_2FS	6
PRON	PUNC	6
PRON	REL_PRON+CASE_DEF_GEN	6
PROPN	DET+ADJ+CASE_DEF_NOM	6
PROPN	DET+NOUN_PROP+NSUFF_FEM_DU_GEN	6
PROPN	NEG_PART	6
PROPN	NOUN+NSUFF_FEM_SG+CASE_DEF_ACC	6
PUNCT	POSS_PRON_3FS	6
PUNCT	PREP	6
SCONJ	NEG_PART	6
VERB	IV3MD+IV_PASS+IVSUFF_SUBJ:D_MOOD:I	6
VERB	PREP	6
VERB	PV_PASS+PVSUFF_SUBJ:1P	6
X	DET+ADJ+NSUFF_FEM_SG	6
X	NOUN+NSUFF_MASC_DU_NOM_POSS	6
X	PV+PVSUFF_SUBJ:3FS	6
ADJ	DET+NOUN+NSUFF_FEM_SG+CASE_DEF_ACC	5
ADJ	DET+NOUN+NSUFF_MASC_PL_ACC	5
ADJ	NOUN+NSUFF_MASC_DU_NOM_POSS	5
ADJ	NOUN+NSUFF_MASC_PL_GEN	5
ADJ	POSS_PRON_3MS	5
ADP	DET+ADJ+CASE_DEF_ACC	5
ADP	IV3FS+IV+IVSUFF_MOOD:I	5
ADP	IV3MS+IV+IVSUFF_MOOD:I	5
AUX	IV3MP+IV+IVSUFF_SUBJ:MP_MOOD:I	5
AUX	PV+PVSUFF_SUBJ:2MP	5
CCONJ	POSS_PRON_3FS	5
NOUN	ADJ_COMP+CASE_INDEF_GEN	5
NOUN	ADJ_NUM+CASE_DEF_GEN	5
NOUN	ADJ_NUM+NSUFF_MASC_PL_ACC	5
NOUN	ADJ_NUM+NSUFF_MASC_PL_GEN	5
NOUN	DET+ADJ_NUM	5
NOUN	DET+ADJ+NSUFF_FEM_SG	5
NOUN	DET+NOUN_NUM	5
NOUN	IV3FS+IV+IVSUFF_MOOD:I	5
NOUN	NOUN_NUM+NSUFF_FEM_DU_NOM	5
NOUN	NOUN_NUM+NSUFF_FEM_PL+CASE_INDEF_GEN	5
NOUN	NOUN_QUANT+NSUFF_MASC_DU_GEN_POSS	5
NOUN	PRON_3FS	5
NUM	DET+NOUN_NUM+NSUFF_FEM_PL+CASE_DEF_NOM	5
NUM	DET+NOUN_NUM+NSUFF_MASC_PL_ACC	5
NUM	PREP	5
PRON	ABBREV	5
PRON	DET+NOUN+CASE_DEF_GEN	5
PRON	IV3MS+IV+IVSUFF_MOOD:I	5
PRON	NOUN+NSUFF_FEM_SG+CASE_DEF_GEN	5
PRON	SUB_CONJ	5
PROPN	DET+NOUN_PROP+NSUFF_MASC_DU_GEN	5
PROPN	DET+NOUN+NSUFF_MASC_DU_ACC	5
PROPN	IV1P+IV_PASS+IVSUFF_MOOD:J	5
PROPN	IV2MP+IV+IVSUFF_SUBJ:MP_MOOD:SJ	5
PROPN	IV2MS+IV+IVSUFF_MOOD:J	5
PROPN	IV3MD+IV+IVSUFF_SUBJ:D_MOOD:SJ	5
PROPN	NOUN+CASE_DEF_ACC	5
PROPN	NOUN+NSUFF_MASC_PL_ACC_POSS	5
PROPN	POSS_PRON_1S	5
PUNCT	ADJ+CASE_INDEF_GEN	5
PUNCT	CONJ	5
PUNCT	POSS_PRON_3MP	5
SCONJ	PUNC	5
X	CONJ	5
X	DET+ADJ	5
ADJ	ADJ+NSUFF_MASC_DU_ACC_POSS	4
ADJ	DET+NOUN_NUM	4
ADJ	DET+NOUN_PROP	4
ADJ	DET+NOUN+NSUFF_FEM_PL+CASE_DEF_ACC	4
ADJ	DET+NOUN+NSUFF_MASC_DU_ACC	4
ADJ	DET+NOUN+NSUFF_MASC_DU_ACC_POSS	4
ADJ	NOUN+NSUFF_MASC_DU_ACC	4
ADJ	NOUN+NSUFF_MASC_PL_NOM	4
ADP	ADJ+CASE_INDEF_ACC	4
ADP	ADJ+NSUFF_FEM_SG+CASE_INDEF_ACC	4
ADP	DET+NOUN+NSUFF_FEM_SG+CASE_DEF_ACC	4
ADP	POSS_PRON_3FS	4
ADP	PV+PVSUFF_SUBJ:3FS	4
ADP	PV+PVSUFF_SUBJ:3MP	4
ADV	ABBREV	4
ADV	DET+NOUN_PROP+CASE_DEF_NOM	4
AUX	IV2MS+IV+IVSUFF_MOOD:S	4
AUX	IV3MD+IV+IVSUFF_SUBJ:D_MOOD:SJ	4
AUX	PV+PVSUFF_SUBJ:3FD	4
CCONJ	DET+NOUN+CASE_DEF_ACC	4
CCONJ	NOUN+NSUFF_MASC_DU_ACC	4
DET	CONJ	4
NOUN	ADJ+NSUFF_FEM_PL+CASE_DEF_NOM	4
NOUN	DET+ADJ+NSUFF_FEM_PL+CASE_DEF_NOM	4
NOUN	DET+NOUN_NUM+CASE_DEF_GEN	4
NOUN	IV3FS+IV+IVSUFF_MOOD:S	4
NOUN	POSS_PRON_2MP	4
NOUN	PSEUDO_VERB	4
NUM	CONJ	4
NUM	DET+NOUN_NUM+NSUFF_FEM_PL+CASE_DEF_ACC	4
NUM	DET+NOUN_NUM+NSUFF_FEM_PL+CASE_DEF_GEN	4
NUM	NOUN+CASE_DEF_ACC	4
NUM	NOUN+CASE_INDEF_GEN	4
PART	NOUN	4
PART	PUNC	4
PRON	NOUN_PROP	4
PRON	PVSUFF_DO:2MP	4
PROPN	ADJ+NSUFF_FEM_DU_NOM	4
PROPN	DET+NOUN_NUM	4
PROPN	DET+NOUN_PROP+NSUFF_FEM_DU_NOM	4
PROPN	DET+NOUN+CASE_DEF_NOM	4
PROPN	IV1S+IV+IVSUFF_MOOD:I	4
PROPN	NOUN+NSUFF_FEM_DU_ACC_POSS	4
PROPN	NOUN+NSUFF_FEM_SG+CASE_DEF_NOM	4
PROPN	PV+PVSUFF_SUBJ:2FP	4
PUNCT	ADJ+NSUFF_FEM_SG+CASE_INDEF_GEN	4
PUNCT	DET+ADJ+CASE_DEF_GEN	4
PUNCT	DET+NOUN_PROP+CASE_DEF_GEN	4
PUNCT	DET+NOUN+CASE_DEF_ACC	4
PUNCT	NOUN_PROP+CASE_INDEF_GEN	4
VERB	ABBREV	4
VERB	DET+NOUN+CASE_DEF_ACC	4
VERB	NOUN+CASE_DEF_GEN	4
VERB	PV_PASS+PVSUFF_SUBJ:3FP	4
VERB	VERB_PART	4
X	ADJ+NSUFF_MASC_DU_ACC_POSS	4
X	DET+ABBREV	4
X	DET+ADJ+NSUFF_MASC_DU_ACC	4
X	IV3MD+IV+IVSUFF_SUBJ:D_MOOD:SJ	4
X	PV+PVSUFF_SUBJ:3FP	4
ADJ	ADJ_NUM+NSUFF_FEM_DU_GEN	3
ADJ	ADJ_NUM+NSUFF_FEM_SG+CASE_DEF_GEN	3
ADJ	ADJ+NSUFF_MASC_DU_GEN_POSS	3
ADJ	ADJ+NSUFF_MASC_PL_ACC_POSS	3
ADJ	DET+ADJ_NUM+NSUFF_MASC_PL_NOM	3
ADJ	IV3MS+IV+IVSUFF_MOOD:I	3
ADJ	NOUN+NSUFF_FEM_SG	3
ADJ	NOUN+NSUFF_FEM_SG+CASE_DEF_ACC	3
ADJ	PV+PVSUFF_SUBJ:3MD	3
ADP	DET+NOUN+CASE_DEF_NOM	3
ADP	DET+NOUN+NSUFF_FEM_PL+CASE_DEF_GEN	3
ADP	IV1P+IV+IVSUFF_MOOD:I	3
ADP	RESTRIC_PART	3
ADV	DET+NOUN+NSUFF_FEM_SG+CASE_DEF_ACC	3
ADV	PREP	3
ADV	PUNC	3
AUX	IV1P+IV+IVSUFF_MOOD:J	3
AUX	PV+PVSUFF_SUBJ:2FS	3
CCONJ	DET+ADJ+CASE_DEF_GEN	3
CCONJ	DET+NOUN+NSUFF_FEM_PL+CASE_DEF_GEN	3
CCONJ	DET+NOUN+NSUFF_FEM_SG+CASE_DEF_GEN	3
CCONJ	IV1P+IV+IVSUFF_MOOD:I	3
CCONJ	NOUN_PROP+CASE_INDEF_GEN	3
CCONJ	POSS_PRON_3MP	3
CCONJ	PV+PVSUFF_SUBJ:3MS	3
DET	NOUN+CASE_DEF_GEN	3
DET	PREP	3
DET	PUNC	3
NOUN	ADJ+NSUFF_MASC_DU_GEN	3
NOUN	ADJ+NSUFF_MASC_PL_NOM_POSS	3
NOUN	DEM_PRON_F	3
NOUN	DET+ADJ_COMP+NSUFF_MASC_DU_ACC	3
NOUN	DET+ADJ_NUM+NSUFF_FEM_SG+CASE_DEF_ACC	3
NOUN	DET+ADJ+NSUFF_FEM_DU_GEN	3
NOUN	DET+ADJ+NSUFF_MASC_DU_GEN	3
NOUN	DET+NOUN_NUM+CASE_DEF_ACC	3
NOUN	DET+NOUN_NUM+CASE_DEF_NOM	3
NOUN	DET+NOUN_QUANT+NSUFF_FEM_SG+CASE_DEF_NOM	3
NOUN	IV3MS+IV+IVSUFF_MOOD:S	3
NOUN	IVSUFF_DO:3MS	3
NOUN	NOUN_NUM+NSUFF_FEM_PL+CASE_DEF_GEN	3
NOUN	NOUN_NUM+NSUFF_MASC_DU_NOM	3
NOUN	NOUN_NUM+NSUFF_MASC_PL_GEN	3
NOUN	PVSUFF_DO:3MS	3
NUM	DET+NOUN_NUM+CASE_DEF_ACC	3
NUM	NOUN_NUM+NSUFF_FEM_DU_ACC	3
PRON	NEG_PART	3
PRON	PV+PVSUFF_SUBJ:3FS	3
PRON	PV+PVSUFF_SUBJ:3MS	3
PROPN	ADJ+CASE_INDEF_ACC	3
PROPN	DET+ADJ+NSUFF_MASC_DU_NOM	3
PROPN	DET+ADJ+NSUFF_MASC_DU_NOM_POSS	3
PROPN	DET+FOREIGN	3
PROPN	DET+NOUN_PROP+NSUFF_MASC_PL_GEN	3
PROPN	DET+NOUN+NSUFF_FEM_DU_ACC	3
PROPN	DET+NOUN+NSUFF_MASC_DU_NOM	3
PROPN	DET+NOUN+NSUFF_MASC_DU_NOM_POSS	3
PROPN	DET+NOUN+NSUFF_MASC_PL_GEN	3
PROPN	IV1P+IV+IVSUFF_MOOD:J	3
PROPN	IV3FP+IV+IVSUFF_SUBJ:FP	3
PROPN	NOUN_PROP+NSUFF_FEM_SG+CASE_INDEF_GEN	3
PROPN	NOUN+CASE_DEF_NOM	3
PROPN	PRON_3FS	3
PUNCT	DET+NOUN_PROP	3
PUNCT	NOUN+CASE_INDEF_ACC	3
SCONJ	VERB	3
VERB	IV1P+IV_PASS+IVSUFF_MOOD:I	3
VERB	NOUN+NSUFF_FEM_SG+CASE_INDEF_GEN	3
X	IV1P+IV+IVSUFF_MOOD:S	3
X	IV3MS+IV+IVSUFF_MOOD:J	3
X	NOUN+CASE_INDEF_ACC	3
X	PV+PVSUFF_SUBJ:3MD	3
X	SUB_CONJ	3
ADJ	ADJ_NUM+NSUFF_FEM_SG+CASE_DEF_NOM	2
ADJ	ADJ_NUM+NSUFF_MASC_PL_ACC	2
ADJ	ADJ_NUM+NSUFF_MASC_PL_GEN	2
ADJ	ADJ+NSUFF_FEM_PL+CASE_DEF_GEN	2
ADJ	ADJ+NSUFF_MASC_PL_NOM_POSS	2
ADJ	DET+ADJ_NUM+NSUFF_FEM_PL+CASE_DEF_NOM	2
ADJ	DET+ADJ_NUM+NSUFF_FEM_SG	2
ADJ	DET+NOUN_NUM+NSUFF_MASC_PL_ACC	2
ADJ	DET+NOUN+NSUFF_MASC_DU_NOM	2
ADJ	DET+NOUN+NSUFF_MASC_PL_NOM	2
ADJ	IV1S+IV+IVSUFF_MOOD:S	2
ADJ	NOUN_NUM+NSUFF_FEM_PL+CASE_DEF_GEN	2
ADJ	NOUN_NUM+NSUFF_FEM_PL+CASE_DEF_NOM	2
ADJ	NOUN_NUM+NSUFF_MASC_PL_GEN	2
ADJ	NOUN_QUANT+CASE_DEF_NOM	2
ADJ	NOUN+NSUFF_FEM_SG+CASE_DEF_NOM	2
ADJ	NOUN+NSUFF_MASC_DU_ACC_POSS	2
ADJ	NOUN+NSUFF_MASC_PL_GEN_POSS	2
ADJ	POSS_PRON_1P	2
ADJ	POSS_PRON_3FS	2
ADJ	POSS_PRON_3MP	2
ADJ	TyPO	2
ADP	DET+ADJ_NUM+CASE_DEF_NOM	2
ADP	DET+ADJ+CASE_DEF_GEN	2
ADP	DET+ADJ+NSUFF_FEM_SG+CASE_DEF_ACC	2
ADP	DET+NOUN_PROP+CASE_DEF_GEN	2
ADP	DET+NOUN+NSUFF_FEM_PL+CASE_DEF_ACC	2
ADP	DET+NOUN+NSUFF_FEM_SG+CASE_DEF_NOM	2
ADP	EMPHATIC_PART	2
ADP	IV3MS+IV_PASS+IVSUFF_MOOD:I	2
ADP	IVSUFF_DO:3MS	2
ADP	POSS_PRON_3MP	2
ADP	PRON_3MS	2
ADP	PVSUFF_DO:3MS	2
ADV	ADJ+CASE_INDEF_NOM	2
ADV	DET+NOUN_PROP+CASE_DEF_GEN	2
ADV	NOUN_PROP+CASE_INDEF_ACC	2
AUX	IV2MP+IV+IVSUFF_SUBJ:MP_MOOD:I	2
AUX	NOUN+CASE_INDEF_GEN	2
AUX	PART	2
AUX	PRON_3FS	2
AUX	PV+PVSUFF_SUBJ:2MS	2
AUX	PV+PVSUFF_SUBJ:3FP	2
CCONJ	ADJ+CASE_INDEF_ACC	2
CCONJ	ADJ+CASE_INDEF_GEN	2
CCONJ	ADJ+NSUFF_FEM_SG+CASE_INDEF_GEN	2
CCONJ	DET+ADJ+NSUFF_FEM_SG+CASE_DEF_ACC	2
CCONJ	NOUN_PROP	2
CCONJ	NOUN+CASE_DEF_ACC	2
DET	ABBREV	2
DET	PV+PVSUFF_SUBJ:3FS	2
NOUN	ADJ_COMP+CASE_DEF_ACC	2
NOUN	ADJ_COMP+CASE_DEF_GEN	2
NOUN	ADJ_NUM+NSUFF_FEM_SG+CASE_DEF_NOM	2
NOUN	ADJ+NSUFF_FEM_PL	2
NOUN	ADJ+NSUFF_FEM_PL+CASE_DEF_ACC	2
NOUN	ADJ+NSUFF_FEM_PL+CASE_INDEF_ACC	2
NOUN	ADJ+NSUFF_MASC_DU_ACC_POSS	2
NOUN	ADJ+NSUFF_MASC_DU_NOM_POSS	2
NOUN	DEM_PRON_P	2
NOUN	DET+ADJ_NUM+NSUFF_FEM_SG+CASE_DEF_GEN	2
NOUN	DET+ADJ+NSUFF_FEM_PL	2
NOUN	DET+NOUN_NUM+NSUFF_FEM_SG+CASE_DEF_ACC	2
NOUN	DET+NOUN_NUM+NSUFF_MASC_PL_ACC	2
NOUN	DET+NOUN_PROP	2
NOUN	DET+NOUN_PROP+NSUFF_FEM_SG	2
NOUN	DET+NOUN_PROP+NSUFF_FEM_SG+CASE_DEF_GEN	2
NOUN	DET+NOUN_PROP+NSUFF_MASC_PL_ACC	2
NOUN	DET+NOUN_PROP+NSUFF_MASC_PL_GEN	2
NOUN	DET+NOUN+NSUFF_MASC_DU_ACC_POSS	2
NOUN	FOREIGN	2
NOUN	IV2FP+IV+IVSUFF_SUBJ:FP	2
NOUN	NOUN_NUM+NSUFF_FEM_PL+CASE_DEF_ACC	2
NOUN	NOUN_NUM+NSUFF_FEM_PL+CASE_DEF_NOM	2
NOUN	NOUN_NUM+NSUFF_FEM_PL+CASE_INDEF_ACC	2
NOUN	NOUN_NUM+NSUFF_FEM_SG+CASE_DEF_NOM	2
NOUN	NOUN_NUM+NSUFF_MASC_PL_ACC	2
NOUN	NOUN_PROP+CASE_DEF_NOM	2
NOUN	NOUN_QUANT+NSUFF_MASC_DU_ACC_POSS	2
NOUN	NOUN_QUANT+NSUFF_MASC_DU_NOM_POSS	2
NOUN	POSS_PRON_3FS	2
NOUN	PV_PASS+PVSUFF_SUBJ:3FS	2
NOUN	PV+PVSUFF_SUBJ:3MD	2
NUM	ADJ+CASE_DEF_GEN	2
NUM	DET+NOUN_NUM+NSUFF_MASC_DU_GEN	2
NUM	DET+NOUN_NUM+NSUFF_MASC_DU_NOM	2
NUM	NOUN_NUM+NSUFF_FEM_DU_NOM	2
NUM	NOUN_NUM+NSUFF_MASC_DU_NOM_POSS	2
PART	ADV	2
PART	DET+NOUN+CASE_DEF_GEN	2
PART	PRON_3FS	2
PRON	ADJ	2
PRON	CONNEC_PART	2
PRON	CVSUFF_DO:3MS	2
PRON	DET+ADJ+CASE_DEF_GEN	2
PRON	IV1S+IV+IVSUFF_MOOD:I	2
PRON	IV3MS+IV+IVSUFF_MOOD:S	2
PRON	NOUN+NSUFF_FEM_SG+CASE_DEF_ACC	2
PRON	NOUN+NSUFF_MASC_PL_GEN	2
PRON	POSS_PRON_2FP	2
PROPN	ADJ_NUM+CASE_INDEF_ACC	2
PROPN	ADJ+CASE_INDEF_GEN	2
PROPN	ADJ+NSUFF_FEM_DU_ACC_POSS	2
PROPN	DET+ABBREV	2
PROPN	DET+ADJ+NSUFF_FEM_SG+CASE_DEF_GEN	2
PROPN	DET+ADJ+NSUFF_FEM_SG+CASE_DEF_NOM	2
PROPN	IV1P+IV+IVSUFF_MOOD:I	2
PROPN	NOUN+NSUFF_FEM_PL	2
PUNCT	ADV	2
PUNCT	DET+ADJ+NSUFF_FEM_SG+CASE_DEF_NOM	2
PUNCT	DET+NOUN_QUANT+CASE_DEF_GEN	2
PUNCT	DET+NOUN+CASE_DEF_NOM	2
PUNCT	DET+NOUN+NSUFF_FEM_PL+CASE_DEF_GEN	2
PUNCT	POSS_PRON_3MS	2
PUNCT	PRON_3FS	2
PUNCT	PRON_3MS	2
PUNCT	PV+PVSUFF_SUBJ:3MS	2
SCONJ	ADJ+CASE_INDEF_GEN	2
SCONJ	ADJ+CASE_INDEF_NOM	2
SCONJ	IV1P+IV+IVSUFF_MOOD:I	2
VERB	ADJ+CASE_INDEF_GEN	2
VERB	ADJ+NSUFF_FEM_SG	2
VERB	ADJ+NSUFF_FEM_SG+CASE_INDEF_GEN	2
VERB	DET+ADJ+CASE_DEF_GEN	2
VERB	DET+NOUN+CASE_DEF_NOM	2
VERB	IV1S+IV_PASS+IVSUFF_MOOD:I	2
VERB	IV2D+IV+IVSUFF_SUBJ:D_MOOD:SJ	2
VERB	IV2FP+IV+IVSUFF_SUBJ:FP	2
VERB	IV2MS+IV_PASS+IVSUFF_MOOD:J	2
VERB	IV3MD+IV_PASS+IVSUFF_SUBJ:D_MOOD:SJ	2
VERB	NOUN+NSUFF_FEM_SG+CASE_DEF_GEN	2
VERB	POSS_PRON_1S	2
VERB	PSEUDO_VERB	2
VERB	PV	2
VERB	REL_ADV	2
X	ADJ_COMP	2
X	ADJ+NSUFF_MASC_DU_ACC	2
X	ADJ+NSUFF_MASC_PL_NOM_POSS	2
X	ADV	2
X	CV+CVSUFF_SUBJ:2MP	2
X	DEM_PRON_MS	2
X	DET+NOUN+NSUFF_MASC_DU_ACC	2
X	IV2FS+IV+IVSUFF_SUBJ:2FS_MOOD:SJ	2
X	IV3MS+IV_PASS+IVSUFF_MOOD:I	2
X	NEG_PART	2
X	PART	2
X	PV+PVSUFF_SUBJ:1P	2
ADJ	ADJ_COMP+NSUFF_FEM_SG+CASE_INDEF_NOM	1
ADJ	ADJ+NSUFF_FEM_DU_NOM_POSS	1
ADJ	ADJ+NSUFF_FEM_PL+CASE_DEF_NOM	1
ADJ	ADJ+NSUFF_FEM_PL+CASE_INDEF_ACC	1
ADJ	ADJ+NSUFF_FEM_PL+CASE_INDEF_NOM	1
ADJ	DET+ABBREV	1
ADJ	DET+ADJ_COMP+NSUFF_MASC_DU_ACC	1
ADJ	DET+ADJ_COMP+NSUFF_MASC_DU_GEN	1
ADJ	DET+ADJ_COMP+NSUFF_MASC_PL_GEN	1
ADJ	DET+ADJ_NUM+NSUFF_FEM_PL+CASE_DEF_GEN	1
ADJ	DET+ADJ_NUM+NSUFF_MASC_DU_ACC	1
ADJ	DET+ADJ_NUM+NSUFF_MASC_DU_GEN	1
ADJ	DET+ADJ_NUM+NSUFF_MASC_DU_NOM	1
ADJ	DET+ADJ+NSUFF_MASC_PL_ACC_POSS	1
ADJ	DET+NOUN_NUM+NSUFF_FEM_DU_ACC_POSS	1
ADJ	DET+NOUN_NUM+NSUFF_MASC_DU_ACC	1
ADJ	DET+NOUN_PROP+CASE_DEF_NOM	1
ADJ	DET+NOUN_PROP+NSUFF_FEM_SG+CASE_DEF_GEN	1
ADJ	DET+NOUN+NSUFF_FEM_PL+CASE_DEF_NOM	1
ADJ	DET+NOUN+NSUFF_MASC_DU_GEN	1
ADJ	IV1P+IV+IVSUFF_MOOD:S	1
ADJ	IV1S+IV+IVSUFF_MOOD:I	1
ADJ	NOUN_NUM+NSUFF_FEM_DU_GEN	1
ADJ	NOUN_NUM+NSUFF_FEM_PL+CASE_INDEF_GEN	1
ADJ	NOUN_NUM+NSUFF_MASC_DU_ACC	1
ADJ	NOUN_NUM+NSUFF_MASC_DU_NOM_POSS	1
ADJ	NOUN_QUANT+CASE_INDEF_ACC	1
ADJ	NOUN_QUANT+NSUFF_FEM_SG+CASE_INDEF_GEN	1
ADJ	NOUN+NSUFF_FEM_DU_ACC	1
ADJ	NOUN+NSUFF_FEM_PL+CASE_DEF_GEN	1
ADJ	NOUN+NSUFF_FEM_PL+CASE_INDEF_GEN	1
ADJ	NOUN+NSUFF_MASC_PL_ACC_POSS	1
ADJ	POSS_PRON_1S	1
ADJ	PRON_3MP	1
ADJ	PV+PVSUFF_SUBJ:3FS	1
ADJ	PV+PVSUFF_SUBJ:3MP	1
ADJ	PV+PVSUFF_SUBJ:3MS	1
ADJ	REL_PRON	1
ADP	ABBREV	1
ADP	ADJ	1
ADP	ADJ_COMP+CASE_DEF_NOM	1
ADP	ADJ+CASE_DEF_GEN	1
ADP	ADJ+NSUFF_FEM_DU_NOM	1
ADP	ADJ+NSUFF_FEM_SG+CASE_INDEF_GEN	1
ADP	ADJ+NSUFF_FEM_SG+CASE_INDEF_NOM	1
ADP	ADJ+NSUFF_MASC_PL_ACC	1
ADP	ADJ+NSUFF_MASC_PL_GEN	1
ADP	CONNEC_PART	1
