entityId	languageTag	label	description	typeId	typeLabel	sitelinks	enwikiUrl
Q203380	en	Napier	city in the North Island of New Zealand	Q515	city	63	https://en.wikipedia.org/wiki/Napier,_New_Zealand
Q203476	en	Srivijayapuram	capital city of the Andaman and Nicobar Islands, India	Q515	city	81	https://en.wikipedia.org/wiki/Port_Blair
Q203675	en	Mažeikiai	city in the north-western Lithuania	Q515	city	64	https://en.wikipedia.org/wiki/Ma%C5%BEeikiai
Q203995	en	Southend-on-Sea	city in Essex, United Kingdom	Q515	city	66	https://en.wikipedia.org/wiki/Southend-on-Sea
Q204181	en	University of Tartu	university in Tartu, Estonia	Q3918	university	71	https://en.wikipedia.org/wiki/University_of_Tartu
Q204234	en	Milton Keynes	city in Buckinghamshire, England, United Kingdom	Q515	city	69	https://en.wikipedia.org/wiki/Milton_Keynes
Q204266	en	Toyama	city in Toyama Prefecture, Japan	Q515	city	72	https://en.wikipedia.org/wiki/Toyama_(city)
Q204271	en	San Luis Potosí	capital of the State of San Luis Potosí, Mexico	Q515	city	70	https://en.wikipedia.org/wiki/San_Luis_Potos%C3%AD_(city)
Q20430250	en	Bucovinean Romanian	Dialect of the Romanian language	Q34770	language	2	https://en.wikipedia.org/wiki/Bukovinian_Romanian_dialect
Q204317	en	Echternach	city and commune in Luxembourg	Q515	city	62	https://en.wikipedia.org/wiki/Echternach
Q204365	en	Zinder	city in Niger	Q515	city	54	https://en.wikipedia.org/wiki/Zinder
Q204434	en	Bihać	city in Bosnia and Herzegovina	Q515	city	68	https://en.wikipedia.org/wiki/Biha%C4%87
Q204439	en	El Alamein	town in the northern Matruh Governorate, Egypt	Q515	city	63	https://en.wikipedia.org/wiki/El_Alamein
Q204457	en	University of Bergen	university in Norway	Q3918	university	39	https://en.wikipedia.org/wiki/University_of_Bergen
Q204626	en	Hitotsubashi University	national university in Kunitachi, Tokyo, Japan	Q3918	university	22	https://en.wikipedia.org/wiki/Hitotsubashi_University
Q204693	en	Karel	programming language	Q9143	programming language	14	https://en.wikipedia.org/wiki/Karel_(programming_language)
Q204709	en	Schiedam	city and municipality in the Netherlands	Q515	city	66	https://en.wikipedia.org/wiki/Schiedam
Q20471677	en	Old Turkmen		Q34770	language	1	
Q204720	en	Hereford	cathedral city and county town of Herefordshire, England	Q515	city	77	https://en.wikipedia.org/wiki/Hereford
Q20473038	en	Classical Azerbaijani		Q34770	language	2	
Q20479	en	Agda	dependently typed, purely functional programming language and proof assistant	Q9143	programming language	12	https://en.wikipedia.org/wiki/Agda_(programming_language)
Q204905	en	Elefsina	modern city in West Attica, Greece	Q515	city	62	https://en.wikipedia.org/wiki/Elefsina
Q20491	en	Nocera Umbra	Italian comune	Q515	city	55	https://en.wikipedia.org/wiki/Nocera_Umbra
Q205119	en	Cajamarca	capital city of Cajamarca, Peru	Q515	city	62	https://en.wikipedia.org/wiki/Cajamarca
Q20526385	en	Mabaan	language	Q34770	language	6	
Q20526532	en	Kaure	language in Indonesia	Q34770	language	9	https://en.wikipedia.org/wiki/Kaure_language
Q20526610	en	Central Aymara	language	Q34770	language	2	
Q2052676	en	Raku	member of the Perl family of programming languages	Q9143	programming language	18	https://en.wikipedia.org/wiki/Raku_(programming_language)
Q20527138	en	Nalögo	language	Q34770	language	2	https://en.wikipedia.org/wiki/Nal%C3%B6go_language
Q20527166	en	Lakondê	language	Q34770	language	3	https://en.wikipedia.org/wiki/Lakond%C3%AA_language
Q20527226	en	Liberia Kpelle	language	Q34770	language	1	
Q20527242	en	Tepeuxila Cuicatec	language from Mexico	Q34770	language	3	https://en.wikipedia.org/wiki/Tepeuxila_Cuicatec_language
Q20527363	en	Ayizi	Language	Q34770	language	1	
Q20527417	en	Bargu-Shineken Buriyad	Buryat language	Q34770	language	3	
Q2053828	en	Dhao	language in Indonesia	Q34770	language	11	https://en.wikipedia.org/wiki/Dhao_language
Q2053913	en	ǂ’Amkoe	endangered Kxʼa language of Botswana	Q34770	language	13	https://en.wikipedia.org/wiki/%C7%82%CA%BCAmkoe_language
Q205458	en	Meddle	1971 studio album by Pink Floyd	Q482994	album	43	https://en.wikipedia.org/wiki/Meddle
Q2055	en	Whitehorse	capital city of the territory of Yukon, Canada	Q515	city	92	https://en.wikipedia.org/wiki/Whitehorse
Q20572404	en	French-Azerbaijani University	university in Baku, Azerbaijan	Q3918	university	28	https://en.wikipedia.org/wiki/French-Azerbaijani_University
Q205792	en	Tamanrasset	city and capital of Tamanrasset Province, Algeria	Q515	city	57	https://en.wikipedia.org/wiki/Tamanrasset
Q20580460	en	Kyirong	Tibetic language spoken in Tibet	Q34770	language	3	https://en.wikipedia.org/wiki/Kyirong_language
Q20581520	en	Luri	language	Q34770	language	4	https://en.wikipedia.org/wiki/Luri_language_(Nigeria)
Q205832	en	Corfu	capital of the Greek island and municipality of Corfu	Q515	city	65	https://en.wikipedia.org/wiki/Corfu_(city)
Q205905	en	Lancaster	county town of Lancashire, England	Q515	city	73	https://en.wikipedia.org/wiki/Lancaster,_Lancashire
Q205942	en	Yalova	central district and city in Yalova Province, Turkey	Q515	city	76	https://en.wikipedia.org/wiki/Yalova
Q20596956	en	Yurt Tatar	language	Q34770	language	2	
Q205979	en	Sogdian	extinct Eastern Iranian language of Central Asia	Q34770	language	56	https://en.wikipedia.org/wiki/Sogdian_language
Q2060023	en	Jabutí	language	Q34770	language	6	https://en.wikipedia.org/wiki/Djeoromitx%C3%AD_language
Q206040	en	Mercury	functional logic programming language	Q9143	programming language	16	https://en.wikipedia.org/wiki/Mercury_(programming_language)
Q20607	en	Upper Umpqua	type of language	Q34770	language	5	https://en.wikipedia.org/wiki/Upper_Umpqua_language
Q20609	en	Nicola	extinct Athabascan language	Q34770	language	7	https://en.wikipedia.org/wiki/Nicola_language
Q206097	en	Yellow Submarine	1969 soundtrack album by the Beatles	Q482994	album	54	https://en.wikipedia.org/wiki/Yellow_Submarine_(album)
Q2061	en	Yellowknife	capital and largest city of the Northwest Territories, Canada	Q515	city	94	https://en.wikipedia.org/wiki/Yellowknife
Q20613214	en	Medieval High Aragonese	language	Q34770	language	3	https://en.wikipedia.org/wiki/Medieval_High_Aragonese
Q20613396	en	sadhu bhasha	historical language style that was used in 19th and 20th century Bangla literary works	Q34770	language	6	https://en.wikipedia.org/wiki/Sadhu_bhasha
Q20614	en	Carrier	Northern Athabaskan language	Q34770	language	8	https://en.wikipedia.org/wiki/Carrier_language
Q206216	en	Animals (Pink Floyd album)	1977 album by Pink Floyd	Q482994	album	46	https://en.wikipedia.org/wiki/Animals_(Pink_Floyd_album)
Q20627	en	Tututni	language	Q34770	language	8	https://en.wikipedia.org/wiki/Tututni_language
Q206271	en	Ummagumma	1969 double album by Pink Floyd; live and studio album	Q482994	album	41	https://en.wikipedia.org/wiki/Ummagumma
Q20628	en	North Slavey	language	Q34770	language	4	
Q20638949	en	Chemnitz dialect	German dialect of Germany	Q34770	language	1	https://en.wikipedia.org/wiki/Chemnitz_dialect
Q20639178	en	Hamont dialect	dialect of Limburgish in Belgium	Q34770	language	1	https://en.wikipedia.org/wiki/Hamont-Achel_dialect
Q20639851	en	Kenzi	language	Q34770	language	12	https://en.wikipedia.org/wiki/Kenzi_language
Q2064378	en	Paunaka	language	Q34770	language	12	https://en.wikipedia.org/wiki/Paunaka_language
Q206484	en	Abeokuta	city in Nigeria	Q515	city	60	https://en.wikipedia.org/wiki/Abeokuta
Q2065666	en	University of the Arts London	public research university located in London, England	Q3918	university	23	https://en.wikipedia.org/wiki/University_of_the_Arts_London
Q20658262	en	Asuo	Loloish language	Q34770	language	4	https://en.wikipedia.org/wiki/Asuo_language
Q20668241	en	Bouna Kulango		Q34770	language	2	
Q206687	en	Nelson	city on the South Island, New Zealand	Q515	city	68	https://en.wikipedia.org/wiki/Nelson,_New_Zealand
Q206702	en	University of Zurich	public research university in Zurich, Switzerland	Q3918	university	64	https://en.wikipedia.org/wiki/University_of_Zurich
Q206760	en	Kyrenia	place in Kyrenia District, Northern Cyprus	Q515	city	65	https://en.wikipedia.org/wiki/Kyrenia
Q2067656	en	Ende	Austronesian language spoken on Flores, Indonesia	Q34770	language	8	https://en.wikipedia.org/wiki/Ende_language_(Indonesia)
Q2068190	en	Nambikwara	language	Q34770	language	10	https://en.wikipedia.org/wiki/Nambikwara_language
Q206848	en	Aphrodite	2010 album by Kylie Minogue	Q482994	album	40	https://en.wikipedia.org/wiki/Aphrodite_(Kylie_Minogue_album)
Q206879	en	Nevşehir	central district and city in Nevşehir Province, Turkey	Q515	city	73	https://en.wikipedia.org/wiki/Nev%C5%9Fehir
Q206881	en	Kilis	central district and city in Kilis Province, Turkey	Q515	city	71	https://en.wikipedia.org/wiki/Kilis
Q206885	en	Düzce	central district and city in Düzce Province, Turkey	Q515	city	70	https://en.wikipedia.org/wiki/D%C3%BCzce
Q20688708	en	Satinese	language	Q34770	language	2	https://en.wikipedia.org/wiki/Shatian_dialect
Q206891	en	Kırıkkale	central district and city in Kırıkkale Province, Turkey	Q515	city	67	https://en.wikipedia.org/wiki/K%C4%B1r%C4%B1kkale
Q206895	en	Hakkâri	central district and city in Hakkâri Province, Turkey	Q515	city	74	https://en.wikipedia.org/wiki/Hakk%C3%A2ri_(city)
Q206900	en	Çorum	central district and city in Çorum Province, Turkey	Q515	city	79	https://en.wikipedia.org/wiki/%C3%87orum
Q206903	en	Kırklareli	central district and city in Kırklareli Province, Turkey	Q515	city	69	https://en.wikipedia.org/wiki/K%C4%B1rklareli
Q206904	en	R	programming language for statistical analysis	Q9143	programming language	78	https://en.wikipedia.org/wiki/R_(programming_language)
Q2069475	en	Pentlatch	language	Q34770	language	5	https://en.wikipedia.org/wiki/Pentlatch_language
Q206954	en	Kastoria	city in Macedonia, Greece	Q515	city	55	https://en.wikipedia.org/wiki/Kastoria
Q206957	en	Serres	city in Central Macedonia, Greece	Q515	city	56	https://en.wikipedia.org/wiki/Serres
Q20707040	en	Ngala	Zande language spoken in DR Congo	Q34770	language	5	https://en.wikipedia.org/wiki/Ngala_language_(Zande)
Q20707795	en	Nabit	Gur language of Burkina Faso and Ghana	Q34770	language	10	https://en.wikipedia.org/wiki/Nabit_language
Q20709516	en	Old Montagnais	period in the history of the Innu language	Q34770	language	1	https://en.wikipedia.org/wiki/Old_Montagnais
Q207098	en	Ghaziabad	city in the Indian state of Uttar Pradesh	Q515	city	77	https://en.wikipedia.org/wiki/Ghaziabad
Q20710801	en	Broken Oghibbeway	Pidgin language	Q34770	language	4	https://en.wikipedia.org/wiki/Broken_Oghibbeway
Q20711	en	Galice	extinct Athabaskan language	Q34770	language	9	https://en.wikipedia.org/wiki/Galice_language
Q20712242	en	Old Greenlandic	language	Q34770	language	1	https://en.wikipedia.org/wiki/Old_Greenlandic_language
Q20712452	en	Middle Greenlandic	language	Q34770	language	1	https://en.wikipedia.org/wiki/Middle_Greenlandic_language
Q20712464	en	Haida Jargon	pidgin trade language based on Haida used in the early 19th century	Q34770	language	2	https://en.wikipedia.org/wiki/Haida_Jargon
Q2071325	en	Kangeanic	Malayo-Polynesian language spoken by the Kangeanese ethnic group, native to the Kangean Archipelago	Q34770	language	24	https://en.wikipedia.org/wiki/Kangean_language
Q20716055	en	Napeca	language	Q34770	language	3	https://en.wikipedia.org/wiki/Napeca_language
Q207223	en	Drogheda	town in County Louth, Ireland	Q515	city	56	https://en.wikipedia.org/wiki/Drogheda
Q207316	en	Lua	lightweight programming language	Q9143	programming language	95	https://en.wikipedia.org/wiki/Lua
Q207322	en	Huambo	city in Angola	Q515	city	70	https://en.wikipedia.org/wiki/Huambo
Q207324	en	Cuttack	second largest city of Odisha, India	Q515	city	68	https://en.wikipedia.org/wiki/Cuttack
Q2073277	en	Tlamacazapa Nahuatl	language	Q34770	language	2	
Q207336	en	Beatles for Sale	1964 studio album by the Beatles	Q482994	album	51	https://en.wikipedia.org/wiki/Beatles_for_Sale
Q207350	en	Rehovot	city in the Central District of Israel, south of Tel Aviv	Q515	city	53	https://en.wikipedia.org/wiki/Rehovot
Q207371	en	Lichfield	cathedral city in Staffordshire, England	Q515	city	63	https://en.wikipedia.org/wiki/Lichfield
Q207438	en	Led Zeppelin III	1970 studio album by Led Zeppelin	Q482994	album	43	https://en.wikipedia.org/wiki/Led_Zeppelin_III
Q207467	en	Trikala	city of Thessaly, Greece	Q515	city	56	https://en.wikipedia.org/wiki/Trikala
Q207470	en	Bijelo Polje	city in Montenegro	Q515	city	55	https://en.wikipedia.org/wiki/Bijelo_Polje
Q20747371	en	Sakhalin Ainu	extinct Ainu language of Sakhalin, Russia	Q34770	language	10	https://en.wikipedia.org/wiki/Sakhalin_Ainu_language
Q207502	en	21st Century Breakdown	2009 studio album by Green Day	Q482994	album	42	https://en.wikipedia.org/wiki/21st_Century_Breakdown
Q207540	en	Lod	city in Israel	Q515	city	60	https://en.wikipedia.org/wiki/Lod
Q207639	en	Chichester	city in West Sussex, England	Q515	city	78	https://en.wikipedia.org/wiki/Chichester
Q207661	en	A Saucerful of Secrets	1968 studio album by Pink Floyd	Q482994	album	42	https://en.wikipedia.org/wiki/A_Saucerful_of_Secrets
Q20771657	en	Tandɨ	language	Q34770	language	3	https://en.wikipedia.org/wiki/Tand%C9%A8_language
Q207749	en	Thane	a city in Maharashtra, India	Q515	city	75	https://en.wikipedia.org/wiki/Thane
Q207752	en	Shillong	capital city of Meghalaya, India	Q515	city	89	https://en.wikipedia.org/wiki/Shillong
Q207754	en	Tiruchirappalli	metropolis in Tamil Nadu, India	Q515	city	77	https://en.wikipedia.org/wiki/Tiruchirappalli
Q207756	en	Tauranga	city in New Zealand's North Island	Q515	city	67	https://en.wikipedia.org/wiki/Tauranga
Q207801	en	Bijeljina	city in Bosnia and Herzegovina	Q515	city	65	https://en.wikipedia.org/wiki/Bijeljina
Q2079	en	Leipzig	largest city in Saxony, Germany	Q515	city	170	https://en.wikipedia.org/wiki/Leipzig
Q207935	en	Chilpancingo de los Bravo	capital of the State of Guerrero, Mexico	Q515	city	65	https://en.wikipedia.org/wiki/Chilpancingo
Q207972	en	Tepic	capital of the State of Nayarit, Mexico	Q515	city	63	https://en.wikipedia.org/wiki/Tepic
Q208005	en	Kırşehir	central district and city in Kırşehir Province, Turkey	Q515	city	72	https://en.wikipedia.org/wiki/K%C4%B1r%C5%9Fehir
Q208006	en	Bilecik	central district and city in Bilecik Province, Turkey	Q515	city	69	https://en.wikipedia.org/wiki/Bilecik
Q208022	en	Police	city of Poland	Q515	city	52	https://en.wikipedia.org/wiki/Police,_West_Pomeranian_Voivodeship
Q208097	en	Imphal	capital of the Indian state of Manipur	Q515	city	85	https://en.wikipedia.org/wiki/Imphal
Q208098	en	Sisimiut	town in Greenland	Q515	city	60	https://en.wikipedia.org/wiki/Sisimiut
Q20812287	en	Nama	language spoken in Papua New Guinea	Q34770	language	4	https://en.wikipedia.org/wiki/Nama_language_(Papuan)
Q208162	en	Patiala	city in Punjab, India	Q515	city	62	https://en.wikipedia.org/wiki/Patiala
Q208200	en	Berane	town and municipality in northeastern Montenegro	Q515	city	53	https://en.wikipedia.org/wiki/Berane
Q20822	en	Northern Tutchone	language	Q34770	language	5	https://en.wikipedia.org/wiki/Northern_Tutchone_language
Q208227	en	The Final Cut	1983 studio album by Pink Floyd	Q482994	album	40	https://en.wikipedia.org/wiki/The_Final_Cut_(album)
Q20823	en	Kaska	Northern Athabaskan language	Q34770	language	16	https://en.wikipedia.org/wiki/Kaska_language
Q20824	en	Mattole	extinct Athabaskan language	Q34770	language	10	https://en.wikipedia.org/wiki/Mattole_language
Q20825	en	Tsuutʼina	language	Q34770	language	12	https://en.wikipedia.org/wiki/Tsuut%CA%BCina_language
Q20826	en	Danezaa	Athabascan language	Q34770	language	9	https://en.wikipedia.org/wiki/Dane-zaa_language
Q20827	en	Tolowa	subgroup of the Athabaskan language family	Q34770	language	13	https://en.wikipedia.org/wiki/Tolowa_language
Q20829	en	Tsetsaut	extinct Athabascan language	Q34770	language	9	https://en.wikipedia.org/wiki/Tsetsaut_language
Q208293	en	Järvenpää	city in the region of Uusimaa in Finland	Q515	city	53	https://en.wikipedia.org/wiki/J%C3%A4rvenp%C3%A4%C3%A4
Q20831	en	Cahto	extinct Athabaskan language	Q34770	language	10	https://en.wikipedia.org/wiki/Cahto_language
Q208318	en	Kaduna	state capital of Kaduna State in Nigeria	Q515	city	60	https://en.wikipedia.org/wiki/Kaduna
Q2083185	en	Iteri	language	Q34770	language	8	https://en.wikipedia.org/wiki/Iteri_language
Q2083197	en	Wambaya	language	Q34770	language	8	https://en.wikipedia.org/wiki/Wambaya_language
Q20832	en	Wailaki	extinct Athabaskan language	Q34770	language	10	https://en.wikipedia.org/wiki/Wailaki_language
Q208340	en	Loud	2010 studio album by Rihanna	Q482994	album	40	https://en.wikipedia.org/wiki/Loud_(Rihanna_album)
Q208352	en	Borjomi	town in Georgia (country)	Q515	city	61	https://en.wikipedia.org/wiki/Borjomi
Q208403	en	Komotini	city in Thrace, Greece	Q515	city	62	https://en.wikipedia.org/wiki/Komotini
Q208472	en	Bingöl	central district and city in Bingöl Province, Turkey	Q515	city	81	https://en.wikipedia.org/wiki/Bing%C3%B6l
Q208473	en	Przemyśl	city in southeastern Poland	Q515	city	78	https://en.wikipedia.org/wiki/Przemy%C5%9Bl
Q2085051	en	Tswa	language	Q34770	language	10	https://en.wikipedia.org/wiki/Tswa_language
Q208521	en	The Division Bell	1994 studio album by Pink Floyd	Q482994	album	43	https://en.wikipedia.org/wiki/The_Division_Bell
Q208573	en	Arta	city in Epirus, Greece	Q515	city	55	https://en.wikipedia.org/wiki/Arta,_Greece
Q20857698	en	North Muyu	language	Q34770	language	2	
Q20859658	en	Pongo	language	Q34770	language	3	https://en.wikipedia.org/wiki/Pongo_language
Q2086145	en	ǀXam	extinct language of South Africa and Lesotho	Q34770	language	25	https://en.wikipedia.org/wiki/%C7%80Xam_language
Q208676	en	Music of the Sun	2005 debut studio album by Rihanna	Q482994	album	40	https://en.wikipedia.org/wiki/Music_of_the_Sun
Q208715	en	Monastir	Tunisian town	Q515	city	58	https://en.wikipedia.org/wiki/Monastir,_Tunisia
Q208725	en	Bat Yam	city in the Tel Aviv District of Israel	Q515	city	62	https://en.wikipedia.org/wiki/Bat_Yam
Q208736	en	Hankuk University of Foreign Studies	private university in South Korea	Q3918	university	26	https://en.wikipedia.org/wiki/Hankuk_University_of_Foreign_Studies
Q2088743	en	Kgalagadi	language	Q34770	language	11	https://en.wikipedia.org/wiki/Kgalagadi_language
Q20888004	en	Bädi Kanum	language	Q34770	language	2	
Q208948	en	Rotorua	city in Bay of Plenty, New Zealand	Q515	city	63	https://en.wikipedia.org/wiki/Rotorua
Q2089984	en	Suki	Trans–New Guinea language	Q34770	language	9	https://en.wikipedia.org/wiki/Suki_language
Q209009	en	Telavi	City in Kakheti region, Georgia	Q515	city	68	https://en.wikipedia.org/wiki/Telavi
Q209034	en	Toluca de Lerdo	capital of the State of Mexico, Mexico	Q515	city	86	https://en.wikipedia.org/wiki/Toluca
Q209176	en	Ely	city and civil parish in Cambridgeshire, England	Q515	city	70	https://en.wikipedia.org/wiki/Ely,_Cambridgeshire
Q209217	en	Great Zimbabwe	ruined city in the south-eastern hills of Zimbabwe near Lake Mutirikwe and the town of Masvingo, was once the capital of the Kingdom of Zimbabwe during the country's Late Iron Age	Q515	city	73	https://en.wikipedia.org/wiki/Great_Zimbabwe
Q2092286	en	Wirangu	language	Q34770	language	7	https://en.wikipedia.org/wiki/Wirangu_language
Q2092358	en	Osmania University	state public university in Hyderabad, Telangana, India	Q3918	university	28	https://en.wikipedia.org/wiki/Osmania_University
Q2093214	en	Finnish Kalo	language	Q34770	language	22	https://en.wikipedia.org/wiki/Finnish_Romani_language
Q209423	en	Kirkenes	town in Sør-Varanger Municipality, Norway	Q515	city	59	https://en.wikipedia.org/wiki/Kirkenes
Q2094884	en	Papora-Hoanya	language	Q34770	language	12	https://en.wikipedia.org/wiki/Papora-Hoanya_language
Q2095090	en	Unified Parallel C	extension of the C programming language designed for high-performance computing on large-scale parallel machines	Q9143	programming language	11	https://en.wikipedia.org/wiki/Unified_Parallel_C
Q209537	en	East London	city in the Eastern Cape, South Africa	Q515	city	66	https://en.wikipedia.org/wiki/East_London,_South_Africa
Q209539	en	Led Zeppelin II	1969 studio album by Led Zeppelin	Q482994	album	45	https://en.wikipedia.org/wiki/Led_Zeppelin_II
Q2096	en	Edmonton	capital city of the province of Alberta, Canada	Q515	city	137	https://en.wikipedia.org/wiki/Edmonton
Q2096524	en	Ulster University	multi-campus university located in Northern Ireland	Q3918	university	27	https://en.wikipedia.org/wiki/Ulster_University
Q20967012	en	Kuril Ainu	extinct Ainu language of the Kuril Islands	Q34770	language	8	https://en.wikipedia.org/wiki/Kuril_Ainu_language
Q20968488	en	Hokkaido Ainu	language spoken in Hokkaido, Japan	Q34770	language	6	https://en.wikipedia.org/wiki/Hokkaido_Ainu_language
Q209698	en	Kolhapur	city in Maharashtra, India	Q515	city	64	https://en.wikipedia.org/wiki/Kolhapur
Q20979	en	Dogrib	Northern Athabaskan language spoken by the First Nations Tłı̨chǫ people of the Canadian territory Northwest Territories	Q34770	language	25	https://en.wikipedia.org/wiki/Dogrib_language
Q20982409	en	Daats’íin	language of Western Ethiopia	Q34770	language	3	https://en.wikipedia.org/wiki/Daats%CA%BCiin_language
Q20983638	en	Buksa	language	Q34770	language	7	https://en.wikipedia.org/wiki/Buksa_language
Q20984087	en	Amu	language	Q34770	language	4	https://en.wikipedia.org/wiki/Amu_language
Q20984088	en	Angluo	language	Q34770	language	4	https://en.wikipedia.org/wiki/Angluo_language
Q20984092	en	Baihong	language	Q34770	language	4	https://en.wikipedia.org/wiki/Baihong_language
Q20984095	en	Budu	language of China	Q34770	language	3	https://en.wikipedia.org/wiki/Budu_language_(China)
Q20984096	en	Bukong	language	Q34770	language	4	https://en.wikipedia.org/wiki/Bukong_language
Q20984131	en	Duoni	language	Q34770	language	4	https://en.wikipedia.org/wiki/Duoni_language
Q20984132	en	Duota	language	Q34770	language	4	https://en.wikipedia.org/wiki/Duota_language
Q20984142	en	Habei	language	Q34770	language	4	https://en.wikipedia.org/wiki/Habei_language
Q20984163	en	Kabie	Loloish language spoken in China	Q34770	language	4	https://en.wikipedia.org/wiki/Khabi_language
Q20984165	en	Lami	language	Q34770	language	4	https://en.wikipedia.org/wiki/Lami_language
Q20984184	en	Nuomei	language	Q34770	language	4	https://en.wikipedia.org/wiki/Nuomei_language
Q20984188	en	Qidi	language	Q34770	language	4	https://en.wikipedia.org/wiki/Qidi_language
Q20984207	en	Tsukong	language	Q34770	language	3	https://en.wikipedia.org/wiki/Tsukong_language
Q20984209	en	Va	Angkuic language pair spoken in China	Q34770	language	4	https://en.wikipedia.org/wiki/Va_language
Q20984222	en	Woni	Southern Loloish language	Q34770	language	5	https://en.wikipedia.org/wiki/Woni_language
Q20984234	en	Yiche	Hanoish language	Q34770	language	4	https://en.wikipedia.org/wiki/Yiche_language
Q20987434	en	Middle Tamil	Form of the Tamil language used from the 8th to the 15th century	Q34770	language	4	https://en.wikipedia.org/wiki/Middle_Tamil
Q209905	en	Akhisar	district and town of Manisa, Turkey	Q515	city	57	https://en.wikipedia.org/wiki/Akhisar
Q20992073	en	Savaiq	Waic language of Shan State, Burma	Q34770	language	4	https://en.wikipedia.org/wiki/Savaiq_language
Q209925	en	Çankırı	central district and city in Çankırı Province, Turkey	Q515	city	65	https://en.wikipedia.org/wiki/%C3%87ank%C4%B1r%C4%B1
Q209978	en	Edessa	city in Macedonia, Greece	Q515	city	51	https://en.wikipedia.org/wiki/Edessa,_Greece
Q21	en	England	country in north-west Europe, part of the United Kingdom	Q6256	country	325	https://en.wikipedia.org/wiki/England
Q210007	en	Vlaardingen	city and municipality of the Netherlands	Q515	city	58	https://en.wikipedia.org/wiki/Vlaardingen
Q210048	en	Innuendo	1990 studio album by Queen	Q482994	album	51	https://en.wikipedia.org/wiki/Innuendo_(album)
Q210122	en	Atom Heart Mother	1970 studio album by Pink Floyd	Q482994	album	42	https://en.wikipedia.org/wiki/Atom_Heart_Mother
Q210161	en	Ambato	city in Ecuador, capital of the Tungurahua Province	Q515	city	55	https://en.wikipedia.org/wiki/Ambato,_Ecuador
Q210197	en	Kukës	city in Kukës County, Albania	Q515	city	88	https://en.wikipedia.org/wiki/Kuk%C3%ABs
Q210292	en	Yozgat	central district and city in Yozgat Province, Turkey	Q515	city	68	https://en.wikipedia.org/wiki/Yozgat
Q210296	en	Xanthi	city in Thrace, Greece	Q515	city	51	
Q21039439	en	Miisiirii	language	Q34770	language	4	https://en.wikipedia.org/wiki/Miisiirii_language
Q21039454	en	Mbere	Mbum language of southern Chad	Q34770	language	2	https://en.wikipedia.org/wiki/Mbere_language_(Adamawa)
Q21039455	en	Sakpu	Mbum language of southern Chad	Q34770	language	1	https://en.wikipedia.org/wiki/Sakpu_language
Q21041529	en	Rajput Garasia	language	Q34770	language	3	
Q210470	en	Katerini	city in Macedonia, Greece	Q515	city	73	https://en.wikipedia.org/wiki/Katerini,_Greece
Q21057	en	Gwich’in	Athabaskan language of the Gwich’in indigenous people	Q34770	language	27	https://en.wikipedia.org/wiki/Gwich%CA%BCin_language
Q21058	en	Ahtna	Indigenous language of North America	Q34770	language	23	https://en.wikipedia.org/wiki/Ahtna_language
Q2106984	en	Tanema	language	Q34770	language	13	https://en.wikipedia.org/wiki/Tanema_language
Q21070792	en	Guanahatabey	Extinct unclassified language of Cuba	Q34770	language	2	https://en.wikipedia.org/wiki/Guanahatabey_language
Q21070851	en	Macorix	Extinct language of Hispaniola	Q34770	language	4	https://en.wikipedia.org/wiki/Macorix_language
Q21072753	en	Ngatikese	Oceanic language spoken in Micronesia	Q34770	language	8	https://en.wikipedia.org/wiki/Ngatikese_language
Q21074781	en	Yocoboué Dida		Q34770	language	2	
Q210809	en	Physical Graffiti	1975 studio album by Led Zeppelin	Q482994	album	43	https://en.wikipedia.org/wiki/Physical_Graffiti
Q21084409	en	Western Xwla		Q34770	language	3	
Q2109432	en	Tillamook	extinct language	Q34770	language	12	https://en.wikipedia.org/wiki/Tillamook_language
Q210985	en	Chelmsford	city in Essex, United Kingdom	Q515	city	69	https://en.wikipedia.org/wiki/Chelmsford
Q211	en	Latvia	sovereign state in northeastern Europe	Q6256	country	335	https://en.wikipedia.org/wiki/Latvia
Q211218	en	Aasiaat	town in Greenland	Q515	city	53	https://en.wikipedia.org/wiki/Aasiaat
Q211292	en	Dookie	1994 studio album by Green Day	Q482994	album	41	https://en.wikipedia.org/wiki/Dookie
Q211318	en	Pitsunda	town in Georgia	Q515	city	56	https://en.wikipedia.org/wiki/Pitsunda
Q211343	en	Pljevlja	city in Montenegro	Q515	city	52	https://en.wikipedia.org/wiki/Pljevlja
Q211405	en	The Game	1980 studio album by Queen	Q482994	album	47	https://en.wikipedia.org/wiki/The_Game_(Queen_album)
Q2114962	en	Bara	Western Malagasy language	Q34770	language	5	https://en.wikipedia.org/wiki/Bara_Malagasy
Q211563	en	Beira	city in Mozambique	Q515	city	58	https://en.wikipedia.org/wiki/Beira,_Mozambique
Q211590	en	Santa Clara	city in Villa Clara province, Cuba	Q515	city	69	https://en.wikipedia.org/wiki/Santa_Clara,_Cuba
Q21168	en	Varberg	urban area in Varberg Municipality, Sweden	Q515	city	62	https://en.wikipedia.org/wiki/Varberg
Q21176	en	Viborg	city in central Jutland, Denmark	Q515	city	74	https://en.wikipedia.org/wiki/Viborg,_Denmark
Q211760	en	Culiacán	capital of the State of Sinaloa, Mexico	Q515	city	73	https://en.wikipedia.org/wiki/Culiac%C3%A1n
Q21178	en	Næstved	town on the island of Zealand in Denmark	Q515	city	50	https://en.wikipedia.org/wiki/N%C3%A6stved
